	Avg_Acutalibacter_muris_KB1	Var_Acutalibacter_muris_KB1	Avg_Bifidobacterium_animalis_YL2	Var_Bifidobacterium_animalis_YL2	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
L-Tyrosine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	1		1	Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	1
L-Valine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	1		1	Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	1
Linolenic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Melitose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Melitose-e0	0.0	0.0	-3.2055849024427087e-13	4.972534382243168e-27	1.0	0.0	0.0	0.0	1.0	0.0	Bifidobacterium_animalis_YL2	1		1	Bifidobacterium_animalis_YL2	1
Methylguanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylhistidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mg-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	1		1	Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	1
Mn2+-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	1		1	Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	1
Molybdenum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetyl-D-galactosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetyl-D-gluosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetylneuraminate (as sialic residue)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
NH3-e0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Bifidobacterium_animalis_YL2	1		1	Bifidobacterium_animalis_YL2	1
Na+-e0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Bifidobacterium_animalis_YL2	1		1	Bifidobacterium_animalis_YL2	1
Niacin	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	1		1	Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	1
Nickel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Oleic acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
PAN	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	1		1	Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	1
Pb-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Pectin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Phosphate-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	1		1	Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	1
Phosphoethanolamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Puryvate	8.667372375370519e-14	3.8740514165586725e-29	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
Putrescine-e0	0.0	0.0	-1.3702020854674295e-13	9.384778843880408e-30	1.0	0.0	0.0	0.0	1.0	0.0	Bifidobacterium_animalis_YL2	1		1	Bifidobacterium_animalis_YL2	1
Pyridoxal	193.59229303372098	3.1515381005465742e-21	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	Acutalibacter_muris_KB1	1	Acutalibacter_muris_KB1	1	Acutalibacter_muris_KB1Acutalibacter_muris_KB1	1
Pyruvate-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Riboflavin	0.0	0.0	96.79614651719533	7.877423061689924e-22	2.0	0.0	1.0	0.0	3.0	0.0	Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	1	Bifidobacterium_animalis_YL2	1	Bifidobacterium_animalis_YL2Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	1
Selenium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Spermidine-e0	1.6039947148271947e-13	2.857163294817129e-28	-2.609716027713603e-13	3.701532957307372e-27	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	1		1	Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	1
Stachyose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Starch	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sucrose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sucrose-e0	0.0	0.0	-3.080681562715869e-13	5.266290028972649e-27	1.0	0.0	0.0	0.0	1.0	0.0	Bifidobacterium_animalis_YL2	1		1	Bifidobacterium_animalis_YL2	1
Sulfate-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	1		1	Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	1
Thiamin-e0	0.0	0.0	-1.4051343627211801e-12	1.0026061633165467e-25	1.0	0.0	0.0	0.0	1.0	0.0	Bifidobacterium_animalis_YL2	1		1	Bifidobacterium_animalis_YL2	1
Thiamine	-2.6968705046925846e-14	8.010114202471885e-27	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
Uracil-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	1		1	Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	1
Urea-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
VitA Retinol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Zn2+-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	1		1	Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	1
acetylhexosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
carbonate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
fe3-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	1		1	Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	1
2-Oxoglutarate-e0-e0	0.0	0.0	0.0	0.0	0.9999994153086681	5.846909900834588e-07	0.0	0.0	0.9999994153086681	5.846909900834588e-07	.Bifidobacterium_animalis_YL2	2		1	.Bifidobacterium_animalis_YL2	2
5'-Deoxyadenosine-e0	0.0	0.0	0.0	0.0	1.9999988306173362	2.3387639603338353e-06	0.0	0.0	1.9999988306173362	2.3387639603338353e-06	.Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	2		1	.Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	2
5-Methylthio-D-ribose-e0	0.0	0.0	0.0	0.0	0.9999994153086681	5.846909900834588e-07	0.0	0.0	0.9999994153086681	5.846909900834588e-07	.Bifidobacterium_animalis_YL2	2		1	.Bifidobacterium_animalis_YL2	2
Acetate-e0	0.0	0.0	0.0	0.0	1.9999988306173362	2.3387639603338353e-06	0.0	0.0	1.9999988306173362	2.3387639603338353e-06	.Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	2		1	.Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	2
CO2-e0	0.0	0.0	0.0	0.0	1.9999988306173362	2.3387639603338353e-06	0.0	0.0	1.9999988306173362	2.3387639603338353e-06	.Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	2		1	.Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	2
D-Lactate-e0	3.0128314273253176e-14	5.946837203347181e-29	0.0	0.0	1.9999988306173362	2.3387639603338353e-06	0.0	0.0	1.9999988306173362	2.3387639603338353e-06	.Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	2		1	.Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	2
Fumarate-e0	0.0	0.0	0.0	0.0	0.9999994153086681	5.846909900834588e-07	0.0	0.0	0.9999994153086681	5.846909900834588e-07	.Bifidobacterium_animalis_YL2	2		1	.Bifidobacterium_animalis_YL2	2
Glycerol-e0	0.0	0.0	0.0	0.0	0.9999994153086681	5.846909900834588e-07	0.0	0.0	0.9999994153086681	5.846909900834588e-07	.Bifidobacterium_animalis_YL2	2		1	.Bifidobacterium_animalis_YL2	2
Glycolaldehyde-e0	0.0	0.0	0.0	0.0	0.9999994153086681	5.846909900834588e-07	0.0	0.0	0.9999994153086681	5.846909900834588e-07	.Bifidobacterium_animalis_YL2	2		1	.Bifidobacterium_animalis_YL2	2
H2-e0	0.0	0.0	0.0	0.0	0.9999994153086681	5.846909900834588e-07	0.0	0.0	0.9999994153086681	5.846909900834588e-07	.Acutalibacter_muris_KB1	2		1	.Acutalibacter_muris_KB1	2
H2S-e0	0.0	0.0	0.0	0.0	1.9999988306173362	2.3387639603338353e-06	0.0	0.0	1.9999988306173362	2.3387639603338353e-06	.Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	2		1	.Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	2
Heme-e0	0.0	0.0	-1.3704786409829694e-12	1.1222876973051973e-25	1.9999988306173362	2.3387639603338353e-06	0.0	0.0	1.9999988306173362	2.3387639603338353e-06	.Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	2		1	.Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	2
O2-e0	0.0	0.0	0.0	0.0	1.9999988306173362	2.3387639603338353e-06	0.0	0.0	1.9999988306173362	2.3387639603338353e-06	.Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	2		1	.Acutalibacter_muris_KB1.Bifidobacterium_animalis_YL2	2
XAN-e0-e0	0.0	0.0	0.0	0.0	0.9999994153086681	5.846909900834588e-07	0.0	0.0	0.9999994153086681	5.846909900834588e-07	.Acutalibacter_muris_KB1	2		1	.Acutalibacter_muris_KB1	2
