	Avg_Flavonifractor_plautii_YL31	Var_Flavonifractor_plautii_YL31	Avg_Enterocloster_clostridioformis_YL32	Var_Enterocloster_clostridioformis_YL32	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
L-Leucine-e0	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
L-Lysine-e0	0.0	0.0	0.0	0.0	1.9920826828109806	0.0010954953133668767	0.0	0.0	1.9920826828109806	0.0010954953133668767	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31.Enterocloster_clostridioformis_YL32	2		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31.Enterocloster_clostridioformis_YL32	2
L-Methionine-e0	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
L-Phenylalanine	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
L-Proline-e0	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
L-Serine-e0	0.0	0.0	0.0	0.0	1.0036712959649494	0.007066392898779423	0.0	0.0	1.0036712959649494	0.007066392898779423	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31.Enterocloster_clostridioformis_YL32	2		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31.Enterocloster_clostridioformis_YL32	2
L-Threonine-e0	3.672229724016324e-14	4.609445432620763e-25	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
L-Tryptophan	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
L-Tyrosine-e0	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
L-Valine-e0	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
Linolenic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Melitose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylguanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylhistidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mg-e0	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
Mn2+-e0	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
Molybdenum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-Acetyl-D-chondrosamine-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetyl-D-galactosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetyl-D-gluosamine	0.0	0.0	-9.874252924204855e-14	1.0913546936377263e-27	0.9965661651211897	1.1750732865653008e-05	0.0	0.0	0.9965661651211897	1.1750732865653008e-05	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
N-acetylneuraminate (as sialic residue)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
NH3-e0	0.0	0.0	0.0	0.0	1.9876017678640618	0.005546612310084815	0.0	0.0	1.9876017678640618	0.005546612310084815	Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	2		1	Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	2
Na+-e0	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
Neu5Ac-e0	0.0	0.0	0.0	0.0	0.9965661651211897	1.1750732865653008e-05	0.0	0.0	0.9965661651211897	1.1750732865653008e-05	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Niacin	0.0	0.0	0.0	0.0	0.9965661651211897	1.1750732865653008e-05	0.0	0.0	0.9965661651211897	1.1750732865653008e-05	Flavonifractor_plautii_YL31	1		1	Flavonifractor_plautii_YL31	1
Nickel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Oleic acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
PAN	24.039640126967043	2465.671024536214	126.25404475836973	0.18860069022355386	1.9931323302423793	4.700293146261203e-05	1.1863192302030376	0.15363942551408882	3.1794515604454165	0.15374238105905724	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1	Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	2	Enterocloster_clostridioformis_YL32Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31.Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	2
Pb-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Pectin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Phosphate-e0	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
Phosphoethanolamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Puryvate	1.0322271114171674e-13	3.8268735852604473e-25	-5.963056905418789e-14	9.846924722553687e-30	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
Putrescine-e0	1.296749861286867e-13	6.906875048208116e-27	1.1022279170980598e-12	2.867307736916922e-25	1.6136262000786838	0.6145219033281824	0.0	0.0	1.6136262000786838	0.6145219033281824	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31.	2		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31.	2
Pyridoxal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Riboflavin	102.21440463033478	2465.787803345467	0.0	0.0	0.9965661651211897	1.1750732865653008e-05	0.8068131000393419	0.1536304758320456	1.8033792651605318	0.15366125318962096	Flavonifractor_plautii_YL31	1	Flavonifractor_plautii_YL31.	2	Flavonifractor_plautii_YL31Flavonifractor_plautii_YL31.Flavonifractor_plautii_YL31	2
Selenium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Spermidine-e0	-4.335412907674278e-13	4.851716552050538e-26	1.4083982952321588e-12	4.6814724810554705e-25	1.6126008452483025	0.6147652255420288	0.0	0.0	1.6126008452483025	0.6147652255420288	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31.Enterocloster_clostridioformis_YL32.	3		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31.Enterocloster_clostridioformis_YL32.	3
Stachyose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Starch	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sucrose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sucrose-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sulfate-e0	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
Thiamin-e0	0.0	0.0	-1.4321191696597754e-12	3.2584862860687675e-28	0.9965661651211897	1.1750732865653008e-05	0.0	0.0	0.9965661651211897	1.1750732865653008e-05	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Uracil-e0	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
Urea-e0	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
VitA Retinol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Zn2+-e0	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
acetylhexosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
carbonate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
fe3-e0	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
lactate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Acetate-e0	0.0	0.0	0.0	0.0	1.992745343871284	0.0008208071487873246	0.0	0.0	1.992745343871284	0.0008208071487873246	.Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	2		1	.Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	2
Butyrate-e0	0.0	0.0	0.0	0.0	1.992745343871284	0.0008208071487873246	0.0	0.0	1.992745343871284	0.0008208071487873246	.Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	2		1	.Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	2
CO2-e0	0.0	0.0	0.0	0.0	1.992745343871284	0.0008208071487873246	0.0	0.0	1.992745343871284	0.0008208071487873246	.Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	2		1	.Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	2
Fumarate-e0	0.0	0.0	4.363527148957342e-13	6.955705834654191e-29	1.992745343871284	0.0008208071487873246	0.0	0.0	1.992745343871284	0.0008208071487873246	.Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	2		1	.Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	2
H2-e0	0.0	0.0	0.0	0.0	0.996372671935642	0.00020520178719683115	0.0	0.0	0.996372671935642	0.00020520178719683115	.Flavonifractor_plautii_YL31	2		1	.Flavonifractor_plautii_YL31	2
O2-e0	-6.7577546422055555e-15	7.88026087601799e-27	0.0	0.0	1.992745343871284	0.0008208071487873246	0.0	0.0	1.992745343871284	0.0008208071487873246	.Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	2		1	.Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	2
Succinate-e0	0.0	0.0	0.0	0.0	1.992745343871284	0.0008208071487873246	0.0	0.0	1.992745343871284	0.0008208071487873246	.Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	2		1	.Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	2
XAN-e0	0.0	0.0	0.0	0.0	1.992745343871284	0.0008208071487873246	0.0	0.0	1.992745343871284	0.0008208071487873246	.Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	2		1	.Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	2
5-Methylthio-D-ribose-e0	0.0	0.0	0.0	0.0	0.9926727616848028	0.00388985171086968	0.0	0.0	0.9926727616848028	0.00388985171086968	.Flavonifractor_plautii_YL31	2		1	.Flavonifractor_plautii_YL31	2
1,3-Propanediol-e0	0.0	0.0	0.0	0.0	0.0006629384638518905	0.0006624974673178496	0.0	0.0	0.0006629384638518905	0.0006624974673178496	.Flavonifractor_plautii_YL31	2		1	.Flavonifractor_plautii_YL31	2
