	Muribaculum_intestinale_YL27	Enterocloster_clostridioformis_YL32	In	InAmount	Out	OutAmount	All	AllAmount
N-Acetyl-D-chondrosamine-e0	0.0	0.0		0		0		0
N-acetyl-D-gluosamine	0.0	-9.237055564881302e-14	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
NH3-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2		0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2
Na+-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2		0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2
Neu5Ac-e0	4.038436252074007e-13	0.0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2		0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2
Niacin	0.0	0.0		0		0		0
Nickel	0.0	0.0		0		0		0
O2-e0	9.769962616701378e-15	0.0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2		0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2
Oleic acid	0.0	0.0		0		0		0
PAN	0.0	126.68907411980524	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2	Enterocloster_clostridioformis_YL32	1	Enterocloster_clostridioformis_YL32Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	3
Pb-e0	0.0	0.0		0		0		0
Pectin	0.0	0.0		0		0		0
Phosphate-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2		0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2
Phosphoethanolamine	0.0	0.0		0		0		0
Propionate-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2		0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2
Puryvate	0.0	-4.186234692227231e-14	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Putrescine	9.50794998288984e-13	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Putrescine-e0	0.0	1.3727352587977748e-12	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Pyridoxal	0.0	0.0		0		0		0
Riboflavin	126.68907411713423	0.0	Muribaculum_intestinale_YL27	1	Muribaculum_intestinale_YL27	1	Muribaculum_intestinale_YL27Muribaculum_intestinale_YL27	2
Selenium	0.0	0.0		0		0		0
Spermidine	0.0	0.0		0		0		0
Spermidine-e0	0.0	1.7153015119397708e-12	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Stachyose	0.0	0.0		0		0		0
Starch	0.0	0.0		0		0		0
Succinate-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Sucrose	4.689859611772818e-13	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Sucrose-e0	0.0	0.0		0		0		0
Sulfate-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2		0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2
Thiamin-e0	0.0	-9.858225347159078e-13	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2		0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2
Uracil	0.0	0.0		0		0		0
Uracil-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Urea-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
VitA Retinol	0.0	0.0		0		0		0
Vitamin K1	0.0	0.0		0		0		0
Vitamin K3	0.0	0.0		0		0		0
XAN-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Zn2+-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2		0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2
acetylhexosamine	0.0	0.0		0		0		0
acgal-e0	0.0	0.0		0		0		0
acgam-e0	0.0	0.0		0		0		0
carbonate	0.0	0.0		0		0		0
core3-e0	0.0	0.0		0		0		0
core4-e0	0.0	0.0		0		0		0
fe3-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2		0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2
fucose	0.0	0.0		0		0		0
lactate	-6.362965709882928e-14	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
