	Enterocloster_clostridioformis_YL32	Blautia_coccoides_YL58	In	InAmount	Out	OutAmount	All	AllAmount
L-Threonine-e0	-1.7255641360236496e-13	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
L-Tryptophan	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
L-Tyrosine-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
L-Valine-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
Linolenic	0.0	0.0		0		0		0
Melitose	0.0	0.0		0		0		0
Methylguanidine	0.0	0.0		0		0		0
Methylhistidine	0.0	0.0		0		0		0
Mg-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
Mn2+-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
Molybdenum	0.0	0.0		0		0		0
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0		0		0		0
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0		0		0		0
N-Acetyl-D-chondrosamine-e0	0.0	0.0		0		0		0
N-acetyl-D-galactosamine	0.0	0.0		0		0		0
N-acetyl-D-gluosamine	18.11734065478539	0.0	Enterocloster_clostridioformis_YL32	1	Enterocloster_clostridioformis_YL32	1	Enterocloster_clostridioformis_YL32Enterocloster_clostridioformis_YL32	2
N-acetylneuraminate (as sialic residue)	0.0	2.909825158603496e-14	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
NH3-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
Na+-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
Neu5Ac-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Niacin	0.0	0.0		0		0		0
Nickel	0.0	0.0		0		0		0
O2-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
Oleic acid	0.0	0.0		0		0		0
PAN	0.0	96.79614651615971	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2	Blautia_coccoides_YL58	1	Blautia_coccoides_YL58Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	3
Pb-e0	0.0	0.0		0		0		0
Pectin	0.0	0.0		0		0		0
Phosphate-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
Phosphoethanolamine	0.0	0.0		0		0		0
Puryvate	2.1739554600941347e-14	1.0500107727740016e-13	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
Putrescine-e0	-6.39877040242709e-13	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Pyridoxal	0.0	0.0		0		0		0
Riboflavin	0.0	-4.645173135031655e-13	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
Selenium	0.0	0.0		0		0		0
Spermidine-e0	-1.0364487046388149e-12	7.66053886991358e-14	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
Stachyose	0.0	0.0		0		0		0
Starch	0.0	0.0		0		0		0
Succinate-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
Sucrose	0.0	0.0		0		0		0
Sucrose-e0	0.0	0.0		0		0		0
Sulfate-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
Thiamin-e0	1.100237956297434e-12	1.715960706860642e-12	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
Uracil-e0	0.0	0.0	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
Urea-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
VitA Retinol	0.0	0.0		0		0		0
Vitamin K1	0.0	0.0		0		0		0
Vitamin K3	0.0	0.0		0		0		0
XAN-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
Zn2+-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
acetylhexosamine	0.0	0.0		0		0		0
carbonate	0.0	0.0		0		0		0
fe3-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
