	Avg_Enterocloster_clostridioformis_YL32	Var_Enterocloster_clostridioformis_YL32	Avg_Blautia_coccoides_YL58	Var_Blautia_coccoides_YL58	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
Gamma-Tocopherol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Glycine-e0	2.2250831034831038e-13	5.385761665708693e-26	0.0	0.0	0.9898552657546008	0.00010187158116420832	0.0	0.0	0.9898552657546008	0.00010187158116420832	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Guanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Guanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
H+-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
H2O-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
Hemin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Hydrocortisone	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Hypoxanthine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Inosine-e0	0.0	0.0	0.0	0.0	1.2516927968175295	0.1927388925750928	0.0	0.0	1.2516927968175295	0.1927388925750928	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32	2		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32	2
K+-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
L-Alanine-e0	0.0	0.0	0.0	0.0	1.9546878104558363	0.02478741790331733	0.0	0.0	1.9546878104558363	0.02478741790331733	Blautia_coccoides_YL58.Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		1	Blautia_coccoides_YL58.Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
L-Arginine-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
L-Ascorbate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Ascorbate-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Asparagine-e0	1.1614264559107503e-12	1.1703892546477732e-24	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
L-Aspartate-e0	7.991880052342548e-05	3.458135534543755e-05	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.00018466086831692708	0.0001846264227488915	1.9798951923775185	0.0005921887653662711	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1	.Enterocloster_clostridioformis_YL32	2	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
L-Cysteine-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
L-Cystine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Fucose-e0	0.0	0.0	0.0	0.0	0.9898552657546008	0.00010187158116420832	0.0	0.0	0.9898552657546008	0.00010187158116420832	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Glutamate-e0	2.9293949603791026e-13	1.547991898914975e-25	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
L-Glutamine-e0	4.150984632815708e-13	3.6518983397547864e-25	0.0	0.0	1.9552941186490314	0.02421163874842382	0.0	0.0	1.9552941186490314	0.02421163874842382	Blautia_coccoides_YL58.Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		1	Blautia_coccoides_YL58.Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
L-Histidine-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
L-Isoleucine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Isoleucine-e0	0.0	0.0	0.0	0.0	0.9898552657546008	0.00010187158116420832	0.0	0.0	0.9898552657546008	0.00010187158116420832	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Lactate-e0	0.0	0.0	2.0760201306163245e-12	5.07192714638918e-23	0.9898552657546008	0.00010187158116420832	0.0	0.0	0.9898552657546008	0.00010187158116420832	Blautia_coccoides_YL58	1		1	Blautia_coccoides_YL58	1
L-Leucine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Leucine-e0	0.0	0.0	0.0	0.0	0.9898552657546008	0.00010187158116420832	0.0	0.0	0.9898552657546008	0.00010187158116420832	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Lysine-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
L-Methionine-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
L-Phenylalanine	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
L-Proline-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
L-Serine-e0	3.9959399903754806e-05	8.645338836385759e-06	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.00018466086831692708	0.0001846264227488915	1.9798951923775185	0.0005921887653662711	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1	.Enterocloster_clostridioformis_YL32	2	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
L-Threonine-e0	6.376274271879272e-13	2.901121100478247e-25	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
L-Tryptophan	0.0	0.0	0.0	0.0	0.9898552657546008	0.00010187158116420832	0.0	0.0	0.9898552657546008	0.00010187158116420832	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Tyrosine-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
L-Valine-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
Linolenic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Melitose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylguanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylhistidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mg-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
Mn2+-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
Molybdenum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-Acetyl-D-chondrosamine-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetyl-D-galactosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetyl-D-gluosamine	5.266629090924536	67.39927559746418	0.0	0.0	0.9898552657546008	0.00010187158116420832	0.29088234937993707	0.20541143645503826	1.2807376151345375	0.20557318071837993	Enterocloster_clostridioformis_YL32	1	.Enterocloster_clostridioformis_YL32	2	Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32Enterocloster_clostridioformis_YL32	2
N-acetylneuraminate (as sialic residue)	0.0	0.0	1.2368790138462616e-05	4.310478275226727e-05	0.9898552657546008	0.00010187158116420832	3.549172421045772e-06	3.5491596966314853e-06	0.9898588149270219	0.00010542147139149139	Blautia_coccoides_YL58	1	.Blautia_coccoides_YL58	2	Blautia_coccoides_YL58.Blautia_coccoides_YL58Blautia_coccoides_YL58	2
NH3-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
Na+-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
Neu5Ac-e0	0.0	0.0	0.0	0.0	0.9898552657546008	0.00010187158116420832	0.0	0.0	0.9898552657546008	0.00010187158116420832	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Niacin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Nickel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
O2-e0	-7.991879939186133e-05	3.458135534562123e-05	-1.7947758256198583e-17	4.18366772287863e-28	1.9797105315092016	0.0004074863246568333	0.00018466086831692708	0.0001846264227488915	1.9798951923775185	0.0005921887653662711	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1	.Enterocloster_clostridioformis_YL32	2	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
Oleic acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
PAN	88.55223160742317	3297.552600082261	95.81383185363552	0.9877191222441328	1.9797105315092016	0.0004074863246568333	1.6888281821292646	0.20569917741534022	3.668538713638466	0.20680189102495586	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32.Blautia_coccoides_YL58	2	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32.Blautia_coccoides_YL58Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
Pb-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Pectin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Phosphate-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
Phosphoethanolamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Puryvate	3.9959400135309884e-05	8.645338836368142e-06	2.7425094416047177e-12	2.156745585291547e-22	1.9797105315092016	0.0004074863246568333	0.00018466086831692708	0.0001846264227488915	1.9798951923775185	0.0005921887653662711	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1	.Enterocloster_clostridioformis_YL32	2	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
Putrescine-e0	9.556790842203586e-13	1.4147432791803091e-24	0.0	0.0	0.8898552657546008	0.08997984111212821	0.0	0.0	0.8898552657546008	0.08997984111212821	Enterocloster_clostridioformis_YL32.	2		1	Enterocloster_clostridioformis_YL32.	2
Pyridoxal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Riboflavin	0.0	0.0	-5.417007305569224e-12	1.1759844369364348e-22	0.9898552657546008	0.00010187158116420832	0.0	0.0	0.9898552657546008	0.00010187158116420832	Blautia_coccoides_YL58	1		1	Blautia_coccoides_YL58	1
Selenium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Spermidine-e0	0.00015983759944507224	0.00013832542138223763	5.625690650702222e-12	6.932401498834536e-22	1.1363813862177568	0.9682995865445013	0.00018466086831692708	0.0001846264227488915	1.1365660470860737	0.9687989084464457	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32.	2	.Enterocloster_clostridioformis_YL32	2	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32.	3
Stachyose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Starch	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Succinate-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
Sucrose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sucrose-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sulfate-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
Thiamin-e0	-0.0002797157938714138	0.0004236216029856803	8.515619102152679e-12	2.1749270388871495e-21	1.7797105315092017	0.35991936444851286	0.00018466086831692708	0.0001846264227488915	1.7798951923775186	0.3601786805707229	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32.	2	.Enterocloster_clostridioformis_YL32	2	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32.	3
Uracil-e0	0.0	0.0	0.0	0.0	0.9900632526607063	0.00030985760007820276	0.0	0.0	0.9900632526607063	0.00030985760007820276	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32.Blautia_coccoides_YL58	2		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32.Blautia_coccoides_YL58	2
Urea-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
VitA Retinol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Zn2+-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
acetylhexosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
carbonate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
fe3-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
5'-Deoxyadenosine-e0	0.0	0.0	0.0	0.0	0.9898544958039326	0.0001026413727536807	0.0	0.0	0.9898544958039326	0.0001026413727536807	.Blautia_coccoides_YL58	2		1	.Blautia_coccoides_YL58	2
XAN-e0	0.0	0.0	0.0	0.0	1.9797089916078652	0.0004105654910147228	0.0	0.0	1.9797089916078652	0.0004105654910147228	.Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		1	.Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
D-Ribose-e0	0.0	0.0	-5.525323880605232e-12	1.51051141488539e-22	1.9294792860764112	0.09830052388040247	0.0	0.0	1.9294792860764112	0.09830052388040247	.Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		1	.Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
Glycerol-e0	0.0	0.0	0.0	0.0	0.9646915977500934	0.02462072617951949	0.0	0.0	0.9646915977500934	0.02462072617951949	.Enterocloster_clostridioformis_YL32	2		1	.Enterocloster_clostridioformis_YL32	2
GTP-e0-e0	0.0	0.0	0.0	0.0	0.726448830456886	0.19336726785213051	0.0	0.0	0.726448830456886	0.19336726785213051	.Blautia_coccoides_YL58	2		1	.Blautia_coccoides_YL58	2
GABA-e0	0.0	0.0	0.0	0.0	0.19999999999999987	0.35959421063018376	0.0	0.0	0.19999999999999987	0.35959421063018376	.Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		1	.Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
