	Muribaculum_intestinale_YL27	Enterocloster_clostridioformis_YL32	In	InAmount	Out	OutAmount	All	AllAmount
L-Methionine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2		0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2
L-Phenylalanine	0.0	0.0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2		0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2
L-Proline	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
L-Proline-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
L-Serine	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
L-Serine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
L-Threonine	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
L-Threonine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
L-Tryptophan	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
L-Tyrosine	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
L-Tyrosine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
L-Valine	0.0	0.0		0		0		0
L-Valine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Linolenic	0.0	0.0		0		0		0
Melitose	0.0	0.0		0		0		0
Methylguanidine	0.0	0.0		0		0		0
Methylhistidine	0.0	0.0		0		0		0
Mg-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2		0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2
Mn2+-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2		0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2
Molybdenum	0.0	0.0		0		0		0
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0		0		0		0
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0		0		0		0
N-Acetyl-D-chondrosamine-e0	0.0	0.0		0		0		0
N-acetyl-D-gluosamine	0.0	-1.1901590823981678e-13	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
NH3-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2		0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2
Na+-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2		0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2
Neu5Ac-e0	-5.529743329901748e-13	0.0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2		0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2
Niacin	0.0	0.0		0		0		0
Nickel	0.0	0.0		0		0		0
O2-e0	-4.574257639333723e-13	-1.6767351396218544e-12	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2		0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2
Oleic acid	0.0	0.0		0		0		0
PAN	126.68907411838646	126.6890741198036	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	4
Pb-e0	0.0	0.0		0		0		0
Pectin	0.0	0.0		0		0		0
Phosphate-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2		0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2
Phosphoethanolamine	0.0	0.0		0		0		0
Puryvate	0.0	-5.297845495633169e-14	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Putrescine	0.0	0.0		0		0		0
Putrescine-e0	0.0	1.4280382432119154e-12	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Pyridoxal	0.0	0.0		0		0		0
Riboflavin	-4.796163466380676e-14	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Selenium	0.0	0.0		0		0		0
Spermidine	0.0	0.0		0		0		0
Spermidine-e0	0.0	1.744528133063028e-12	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Stachyose	0.0	0.0		0		0		0
Starch	0.0	0.0		0		0		0
Succinate-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2		0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2
Sucrose	-5.969530425531389e-14	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Sucrose-e0	0.0	0.0		0		0		0
Sulfate-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2		0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2
Thiamin-e0	0.0	-1.0862422072932532e-12	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2		0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2
Uracil	0.0	0.0		0		0		0
Uracil-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Urea-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
VitA Retinol	0.0	0.0		0		0		0
Vitamin K1	0.0	0.0		0		0		0
Vitamin K3	0.0	0.0		0		0		0
Zn2+-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2		0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2
acetylhexosamine	0.0	0.0		0		0		0
acgal-e0	0.0	0.0		0		0		0
acgam-e0	0.0	0.0		0		0		0
carbonate	0.0	0.0		0		0		0
core3-e0	0.0	0.0		0		0		0
core4-e0	0.0	0.0		0		0		0
fe3-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2		0	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2
fucose	0.0	0.0		0		0		0
lactate	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
