	Avg_Acutalibacter_muris_KB1	Var_Acutalibacter_muris_KB1	Avg_Blautia_coccoides_YL58	Var_Blautia_coccoides_YL58	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
H+-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
H2-e0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
H2O-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
Hemin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Hydrocortisone	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Hypoxanthine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Inosine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
K+-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
L-Alanine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
L-Arginine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
L-Ascorbate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Asparagine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
L-Aspartate-e0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Blautia_coccoides_YL58	1		1	Blautia_coccoides_YL58	1
L-Cysteine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
L-Cystine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Fucose-e0	0.0	0.0	0.0	0.0	0.1	0.09000000000000002	0.0	0.0	0.1	0.09000000000000002	.Blautia_coccoides_YL58	2		1	.Blautia_coccoides_YL58	2
L-Glutamate-e0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Blautia_coccoides_YL58	1		1	Blautia_coccoides_YL58	1
L-Glutamine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
L-Histidine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
L-Isoleucine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Lactate-e0	3.193972863968497e-14	0.0	-9.219273962103184e-09	7.460610897400202e-16	2.0	0.0	0.1	0.09000000000000002	2.1	0.09	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1	.Blautia_coccoides_YL58	2	Acutalibacter_muris_KB1.Blautia_coccoides_YL58.Blautia_coccoides_YL58Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
L-Leucine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Lysine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
L-Methionine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
L-Phenylalanine	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
L-Proline-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
L-Serine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
L-Threonine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
L-Tryptophan	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
L-Tyrosine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
L-Valine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
Linolenic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Melitose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylguanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylhistidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mg-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
Mn2+-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
Molybdenum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetyl-D-galactosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetyl-D-gluosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetylneuraminate (as sialic residue)	0.0	0.0	-4.899686234904807e-09	2.0994308377415939e-16	1.0	0.0	0.0	0.0	1.0	0.0	Blautia_coccoides_YL58	1		1	Blautia_coccoides_YL58	1
NH3-e0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Blautia_coccoides_YL58	1		1	Blautia_coccoides_YL58	1
Na+-e0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Blautia_coccoides_YL58	1		1	Blautia_coccoides_YL58	1
Niacin	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
Nickel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
O2-e0	0.0	0.0	-3.858537083935725e-17	9.285661697301551e-28	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
Oleic acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
PAN	0.0	0.0	96.79613303005877	1.604087608058218e-09	2.0	0.0	1.0	0.0	3.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1	Blautia_coccoides_YL58	1	Blautia_coccoides_YL58Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
Pb-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Pectin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Phosphate-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
Phosphoethanolamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Puryvate	1.1430092983211182e-13	0.0	-3.5721967764193017e-09	1.1092088224637974e-16	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
Putrescine-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Pyridoxal	193.59229303371148	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	Acutalibacter_muris_KB1	1	Acutalibacter_muris_KB1	1	Acutalibacter_muris_KB1Acutalibacter_muris_KB1	1
Riboflavin	0.0	0.0	5.970587946424801e-10	1.130816438754156e-18	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
Selenium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Spermidine-e0	1.3292145162324687e-13	0.0	-9.50873303623825e-09	7.903206251644392e-16	2.0	0.0	0.1	0.09000000000000002	2.1	0.09	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1	.Blautia_coccoides_YL58	2	Acutalibacter_muris_KB1.Blautia_coccoides_YL58.Blautia_coccoides_YL58Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
Stachyose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Starch	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Succinate-e0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Blautia_coccoides_YL58	1		1	Blautia_coccoides_YL58	1
Sucrose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sulfate-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
Thiamin-e0	0.0	0.0	6.20499967456715e-08	3.3904269820348e-14	1.0	0.0	0.1	0.09000000000000002	1.1	0.09	Blautia_coccoides_YL58	1	.Blautia_coccoides_YL58	2	Blautia_coccoides_YL58.Blautia_coccoides_YL58Blautia_coccoides_YL58	2
Thiamine	-2.6645352591003757e-14	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
Uracil-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
Urea-e0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Blautia_coccoides_YL58	1		1	Blautia_coccoides_YL58	1
VitA Retinol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Zn2+-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
acetylhexosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
carbonate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
fe3-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1		1	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	1
5'-Deoxyadenosine-e0	0.0	0.0	0.0	0.0	1.999996793274396	6.413440924625646e-06	0.0	0.0	1.999996793274396	6.413440924625646e-06	.Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		1	.Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
H2S-e0	0.0	0.0	0.0	0.0	0.999998396637198	1.6033602311564114e-06	0.0	0.0	0.999998396637198	1.6033602311564114e-06	.Acutalibacter_muris_KB1	2		1	.Acutalibacter_muris_KB1	2
Heme-e0	0.0	0.0	5.511301660771188e-09	2.6392640543854473e-16	1.999996793274396	6.413440924625646e-06	0.1	0.09000000000000002	2.0999967932743964	0.0900070547860454	.Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2	.Blautia_coccoides_YL58	2	.Acutalibacter_muris_KB1.Blautia_coccoides_YL58.Blautia_coccoides_YL58Acutalibacter_muris_KB1.Blautia_coccoides_YL58	3
XAN-e0	0.0	0.0	0.0	0.0	0.999998396637198	1.6033602311564114e-06	0.0	0.0	0.999998396637198	1.6033602311564114e-06	.Blautia_coccoides_YL58	2		1	.Blautia_coccoides_YL58	2
XAN-e0-e0	0.0	0.0	0.0	0.0	0.999998396637198	1.6033602311564114e-06	0.0	0.0	0.999998396637198	1.6033602311564114e-06	.Acutalibacter_muris_KB1	2		1	.Acutalibacter_muris_KB1	2
