	Avg_Limosilactobacillus_reuteri_I49	Var_Limosilactobacillus_reuteri_I49	Avg_Acutalibacter_muris_KB1	Var_Acutalibacter_muris_KB1	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
Choline-e0	0.0	0.0	0.0	0.0	0.9929555023573955	4.927536421424634e-05	0.0	0.0	0.9929555023573955	4.927536421424634e-05	Limosilactobacillus_reuteri_I49	1		1	Limosilactobacillus_reuteri_I49	1
Chromium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Citrulline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cl	0.0	0.0	0.0	0.0	0.9929555023573955	4.927536421424634e-05	0.0	0.0	0.9929555023573955	4.927536421424634e-05	Limosilactobacillus_reuteri_I49	1		1	Limosilactobacillus_reuteri_I49	1
Cl--e0	0.0	0.0	0.0	0.0	0.9929555023573955	4.927536421424634e-05	0.0	0.0	0.9929555023573955	4.927536421424634e-05	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
Co2+-e0	0.0	0.0	0.0	0.0	1.985911004714791	0.00019710145685698536	0.0	0.0	1.985911004714791	0.00019710145685698536	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1		1	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1
Creatine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Creatinine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cu2+-e0	0.0	0.0	0.0	0.0	1.985911004714791	0.00019710145685698536	0.0	0.0	1.985911004714791	0.00019710145685698536	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1		1	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1
Cytosine	5.348530948262389e-06	4.459554270722734e-07	0.0	0.0	0.9929555023573955	4.927536421424634e-05	6.414303363799096e-05	6.41388903258474e-05	0.9930196453910334	0.00011342062072938932	Limosilactobacillus_reuteri_I49	1	.Limosilactobacillus_reuteri_I49	2	Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
D-Glucose-e0	0.00014649712110948436	0.0003112037443395717	0.0	0.0	1.985911004714791	0.00019710145685698536	0.00018442172384423302	0.00018438747287897596	1.9860954264386352	0.0003815255374090734	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1	.Limosilactobacillus_reuteri_I49	2	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	2
D-Lactate-e0	0.0	0.0	2.5919116981365975e-14	3.4463511980497376e-32	1.985911004714791	0.00019710145685698536	0.0	0.0	1.985911004714791	0.00019710145685698536	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1		1	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1
D-Mannitol-e0	0.0	0.0	0.0	0.0	0.9929555023573955	4.927536421424634e-05	0.0	0.0	0.9929555023573955	4.927536421424634e-05	Limosilactobacillus_reuteri_I49	1		1	Limosilactobacillus_reuteri_I49	1
D-Mannose-e0	-4.075578000932586e-05	3.4504950288883865e-05	0.0	0.0	0.04205346842481795	0.04027251606499172	0.00018442172384423302	0.00018438747287897596	0.04223789014866218	0.040810126571044686	Limosilactobacillus_reuteri_I49.	2	.Limosilactobacillus_reuteri_I49	2	Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49.	3
Fe2+-e0	0.0	0.0	0.0	0.0	1.985911004714791	0.00019710145685698536	0.0	0.0	1.985911004714791	0.00019710145685698536	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1		1	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1
Folate-e0	2.5732253160295513	160.16927543206555	0.0	0.0	0.9929555023573955	4.927536421424634e-05	0.04139635274895362	0.039670622868149236	1.034351855106349	0.03972400681598885	Limosilactobacillus_reuteri_I49	1	.Limosilactobacillus_reuteri_I49	2	Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
Fumarate-e0	1.0697061949473113e-05	1.7838217082864963e-06	0.0	0.0	0.9929555023573955	4.927536421424634e-05	6.414303363799096e-05	6.41388903258474e-05	0.9930196453910334	0.00011342062072938932	Limosilactobacillus_reuteri_I49	1	.Limosilactobacillus_reuteri_I49	2	Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
Galactose-e0	0.0001417768092684582	0.00031089809717695365	0.0	0.0	1.9854471876581932	0.0006606098041486327	0.00011184817312120753	0.00011183557498061405	1.9855590358313147	0.0007725720660448766	Acutalibacter_muris_KB1.Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	2	.Limosilactobacillus_reuteri_I49	2	Acutalibacter_muris_KB1.Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	3
Gamma-Tocopherol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Glycine-e0	5.34853100850226e-06	4.459554270712441e-07	0.0	0.0	1.9464373439555724	0.03809378028490023	6.414303363799096e-05	6.41388903258474e-05	1.9465014869892103	0.03816303150108188	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49.Acutalibacter_muris_KB1	2	.Limosilactobacillus_reuteri_I49	2	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49.Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	3
Guanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Guanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
H+-e0	0.0	0.0	0.0	0.0	1.985911004714791	0.00019710145685698536	0.0	0.0	1.985911004714791	0.00019710145685698536	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1		1	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1
H2-e0	0.0	0.0	0.0	0.0	0.9929555023573955	4.927536421424634e-05	0.0	0.0	0.9929555023573955	4.927536421424634e-05	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
H2O-e0	0.0	0.0	0.0	0.0	1.985911004714791	0.00019710145685698536	0.0	0.0	1.985911004714791	0.00019710145685698536	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1		1	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1
Hemin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Hydrocortisone	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Hypoxanthine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Inosine	0.0	0.0	0.0	0.0	0.9929555023573955	4.927536421424634e-05	0.0	0.0	0.9929555023573955	4.927536421424634e-05	Limosilactobacillus_reuteri_I49	1		1	Limosilactobacillus_reuteri_I49	1
Inosine-e0	0.0	0.0	0.0	0.0	0.9929555023573955	4.927536421424634e-05	0.0	0.0	0.9929555023573955	4.927536421424634e-05	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
K+-e0	0.0	0.0	0.0	0.0	1.985911004714791	0.00019710145685698536	0.0	0.0	1.985911004714791	0.00019710145685698536	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1		1	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1
L-Alanine-e0	0.0	0.0	0.0	0.0	1.985911004714791	0.00019710145685698536	0.0	0.0	1.985911004714791	0.00019710145685698536	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1		1	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1
L-Arginine-e0	0.0	0.0	0.0	0.0	1.985911004714791	0.00019710145685698536	0.0	0.0	1.985911004714791	0.00019710145685698536	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1		1	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1
L-Ascorbate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Asparagine-e0	3.0760842686728804e-05	1.0221389370607177e-05	0.0	0.0	1.985911004714791	0.00019710145685698536	0.00011184817312120753	0.00011183557498061405	1.986022852887912	0.00030895923367627314	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1	.Limosilactobacillus_reuteri_I49	2	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	2
L-Aspartate-e0	5.082462362387655e-05	3.5534956899222405e-05	0.0	0.0	0.9793156972270227	0.013500371872857984	0.00011184817312120753	0.00011183557498061405	0.979427545400144	0.01361529121732113	Limosilactobacillus_reuteri_I49.	2	.Limosilactobacillus_reuteri_I49	2	Limosilactobacillus_reuteri_I49..Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	3
L-Cysteine-e0	5.348530904739421e-06	4.459554270724711e-07	0.0	0.0	1.985911004714791	0.00019710145685698536	6.414303363799096e-05	6.41388903258474e-05	1.9859751477484289	0.0002612530795614239	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1	.Limosilactobacillus_reuteri_I49	2	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	2
L-Cystine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Fucose-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Glutamate-e0	5.0824623393693003e-05	3.553495689924178e-05	0.0	0.0	0.9929555023573955	4.927536421424634e-05	0.00011184817312120753	0.00011183557498061405	0.9930673505305168	0.00016112204011419412	Limosilactobacillus_reuteri_I49	1	.Limosilactobacillus_reuteri_I49	2	Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
L-Glutamine-e0	3.076084242208547e-05	1.0221389370594304e-05	0.0	0.0	1.9510304065264306	0.03384554899264915	0.00011184817312120753	0.00011183557498061405	1.9511422546995516	0.03396526439767459	Acutalibacter_muris_KB1.Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	2	.Limosilactobacillus_reuteri_I49	2	Acutalibacter_muris_KB1.Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	3
L-Histidine-e0	0.0	0.0	0.0	0.0	1.985911004714791	0.00019710145685698536	0.0	0.0	1.985911004714791	0.00019710145685698536	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1		1	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1
L-Isoleucine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Isoleucine-e0	0.0	0.0	0.0	0.0	0.9929555023573955	4.927536421424634e-05	0.0	0.0	0.9929555023573955	4.927536421424634e-05	Limosilactobacillus_reuteri_I49	1		1	Limosilactobacillus_reuteri_I49	1
L-Lactate-e0	0.0	0.0	-5.1718104366205634e-14	2.9684163918647784e-30	0.9929555023573955	4.927536421424634e-05	0.0	0.0	0.9929555023573955	4.927536421424634e-05	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
L-Leucine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Leucine-e0	0.0	0.0	0.0	0.0	0.9929555023573955	4.927536421424634e-05	0.0	0.0	0.9929555023573955	4.927536421424634e-05	Limosilactobacillus_reuteri_I49	1		1	Limosilactobacillus_reuteri_I49	1
L-Lysine-e0	0.0	0.0	0.0	0.0	1.985911004714791	0.00019710145685698536	0.0	0.0	1.985911004714791	0.00019710145685698536	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1		1	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1
L-Methionine-e0	0.0	0.0	0.0	0.0	1.985911004714791	0.00019710145685698536	0.0	0.0	1.985911004714791	0.00019710145685698536	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1		1	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1
L-Phenylalanine	0.0	0.0	0.0	0.0	0.9929555023573955	4.927536421424634e-05	0.0	0.0	0.9929555023573955	4.927536421424634e-05	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
L-Phenylalanine-e0	0.0	0.0	0.0	0.0	0.9929555023573955	4.927536421424634e-05	0.0	0.0	0.9929555023573955	4.927536421424634e-05	Limosilactobacillus_reuteri_I49	1		1	Limosilactobacillus_reuteri_I49	1
L-Proline-e0	0.0	0.0	0.0	0.0	1.985911004714791	0.00019710145685698536	0.0	0.0	1.985911004714791	0.00019710145685698536	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1		1	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1
L-Serine-e0	5.348531021846336e-06	4.459554270711331e-07	0.0	0.0	1.9772433205579887	0.008787407087255466	6.414303363799096e-05	6.41388903258474e-05	1.9773074635916266	0.008852678486153407	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49.Acutalibacter_muris_KB1	2	.Limosilactobacillus_reuteri_I49	2	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49.Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	3
L-Threonine-e0	1.0697061913946105e-05	1.7838217082876197e-06	0.0	0.0	1.985911004714791	0.00019710145685698536	6.414303363799096e-05	6.41388903258474e-05	1.9859751477484289	0.0002612530795614239	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1	.Limosilactobacillus_reuteri_I49	2	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	2
L-Tryptophan	0.0	0.0	0.0	0.0	0.9929555023573955	4.927536421424634e-05	0.0	0.0	0.9929555023573955	4.927536421424634e-05	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
L-Tryptophan-e0	0.0	0.0	0.0	0.0	0.9929555023573955	4.927536421424634e-05	0.0	0.0	0.9929555023573955	4.927536421424634e-05	Limosilactobacillus_reuteri_I49	1		1	Limosilactobacillus_reuteri_I49	1
L-Tyrosine-e0	0.0	0.0	0.0	0.0	1.985911004714791	0.00019710145685698536	0.0	0.0	1.985911004714791	0.00019710145685698536	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1		1	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1
L-Valine-e0	0.0	0.0	0.0	0.0	1.985911004714791	0.00019710145685698536	0.0	0.0	1.985911004714791	0.00019710145685698536	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1		1	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1
Linolenic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Melitose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Melitose-e0	0.00040408411461928214	0.002229201338541361	0.0	0.0	0.9929555023573955	4.927536421424634e-05	0.00018442172384423302	0.00018438747287897596	0.9931399240812397	0.00023368114092977825	Limosilactobacillus_reuteri_I49	1	.Limosilactobacillus_reuteri_I49	2	Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
Methylguanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylhistidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mg-e0	0.0	0.0	0.0	0.0	1.985911004714791	0.00019710145685698536	0.0	0.0	1.985911004714791	0.00019710145685698536	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1		1	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1
Mn2+-e0	0.0	0.0	0.0	0.0	1.985911004714791	0.00019710145685698536	0.0	0.0	1.985911004714791	0.00019710145685698536	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1		1	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1
Molybdenum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetyl-D-galactosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetyl-D-gluosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetylneuraminate (as sialic residue)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
NH3-e0	0.0	0.0	0.0	0.0	0.9929555023573955	4.927536421424634e-05	0.0	0.0	0.9929555023573955	4.927536421424634e-05	Limosilactobacillus_reuteri_I49	1		1	Limosilactobacillus_reuteri_I49	1
Na+-e0	0.0	0.0	0.0	0.0	0.9929555023573955	4.927536421424634e-05	0.0	0.0	0.9929555023573955	4.927536421424634e-05	Limosilactobacillus_reuteri_I49	1		1	Limosilactobacillus_reuteri_I49	1
Niacin	0.0	0.0	0.0	0.0	1.985911004714791	0.00019710145685698536	0.0	0.0	1.985911004714791	0.00019710145685698536	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1		1	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1
Nickel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
O2-e0	-9.802774803930627e-05	6.622963022595769e-05	0.0	0.0	1.985911004714791	0.00019710145685698536	0.00018442172384423302	0.00018438747287897596	1.9860954264386352	0.0003815255374090734	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1	.Limosilactobacillus_reuteri_I49	2	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	2
Oleic acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
PAN	0.03353847609397008	3.245262492720148	0.0	0.0	1.985911004714791	0.00019710145685698536	0.00034648565362049703	0.00034636475560413047	1.9862574903684114	0.0005435349897899584	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49.	2	Limosilactobacillus_reuteri_I49Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49.Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	2
Pb-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Pectin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Phosphate-e0	0.0	0.0	0.0	0.0	1.985911004714791	0.00019710145685698536	0.0	0.0	1.985911004714791	0.00019710145685698536	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1		1	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1
Phosphoethanolamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Puryvate	0.0	0.0	4.6921190292654e-14	8.331766642394906e-31	0.9929555023573955	4.927536421424634e-05	0.0	0.0	0.9929555023573955	4.927536421424634e-05	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
Putrescine-e0	4.01275618256044e-05	3.3751999732614214e-05	0.0	0.0	0.9579317011873782	0.03383429252696551	4.770513948321656e-05	4.770284767115425e-05	0.9579794063268614	0.03388536528011596	.Limosilactobacillus_reuteri_I49	2	.Limosilactobacillus_reuteri_I49	2	.Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	3
Pyridoxal	0.0	0.0	192.22853258146102	1.8467409135650588	0.9929555023573955	4.927536421424634e-05	0.9929555023573955	4.927536421424634e-05	1.985911004714791	0.00019710145685698536	Acutalibacter_muris_KB1	1	Acutalibacter_muris_KB1	1	Acutalibacter_muris_KB1Acutalibacter_muris_KB1	1
Pyruvate-e0	3.0132624195378536e-05	9.190492679581451e-06	0.0	0.0	0.9929555023573955	4.927536421424634e-05	0.00018442172384423302	0.00018438747287897596	0.9931399240812397	0.00023368114092977825	Limosilactobacillus_reuteri_I49	1	.Limosilactobacillus_reuteri_I49	2	Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
Riboflavin	99.79350012884522	385.0197398367894	0.0	0.0	1.985911004714791	0.00019710145685698536	0.9926090167037749	0.00039560573115395855	2.978520021418566	0.0007897398675390836	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1	.Limosilactobacillus_reuteri_I49	2	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	2
Selenium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sorbitol-e0	0.0	0.0	0.0	0.0	0.9929555023573955	4.927536421424634e-05	0.0	0.0	0.9929555023573955	4.927536421424634e-05	Limosilactobacillus_reuteri_I49	1		1	Limosilactobacillus_reuteri_I49	1
Spermidine-e0	9.567249856645677e-05	0.00013709622191429243	-3.3784512848092543e-15	1.1846140945851008e-29	1.7859110047147908	0.3598756215935236	0.00018442172384423302	0.00018438747287897596	1.786095426438635	0.3601343340269729	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49.	2	.Limosilactobacillus_reuteri_I49	2	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49.	3
Stachyose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Starch	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sucrose	0.00027293046129622496	0.0010507430894769628	0.0	0.0	0.9929555023573955	4.927536421424634e-05	0.00018442172384423302	0.00018438747287897596	0.9931399240812397	0.00023368114092977825	Limosilactobacillus_reuteri_I49	1	.Limosilactobacillus_reuteri_I49	2	Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
Sulfate-e0	0.0	0.0	0.0	0.0	1.985911004714791	0.00019710145685698536	0.0	0.0	1.985911004714791	0.00019710145685698536	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1		1	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1
Thiamine	5.14648202112172	640.6766508672391	3.2053053026532186e-13	1.1664954904054989e-26	1.7859110047147908	0.3598756215935236	0.04139635274895362	0.039670622868149236	1.8273073574637444	0.41622964933224593	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49.	2	.Limosilactobacillus_reuteri_I49	2	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49.	3
Uracil-e0	5.348530985461925e-06	4.4595542707179206e-07	0.0	0.0	1.9508872035447737	0.03397864251105208	6.414303363799096e-05	6.41388903258474e-05	1.9509513465784116	0.03404731885086048	Acutalibacter_muris_KB1.Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	2	.Limosilactobacillus_reuteri_I49	2	Acutalibacter_muris_KB1.Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	3
Urea-e0	-2.0063780995951783e-05	8.437999933154253e-06	0.0	0.0	0.9929555023573955	4.927536421424634e-05	4.770513948321656e-05	4.770284767115425e-05	0.9930032074968786	9.69829466154419e-05	Limosilactobacillus_reuteri_I49	1	.Limosilactobacillus_reuteri_I49	2	Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
VitA Retinol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Zn2+-e0	0.0	0.0	0.0	0.0	1.985911004714791	0.00019710145685698536	0.0	0.0	1.985911004714791	0.00019710145685698536	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1		1	Acutalibacter_muris_KB1.Limosilactobacillus_reuteri_I49	1
