	Avg_Acutalibacter_muris_KB1	Var_Acutalibacter_muris_KB1	Avg_Enterococcus_faecalis_KB1	Var_Enterococcus_faecalis_KB1	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
L-Leucine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Leucine-e0	0.0	0.0	0.0	0.0	0.9828416755590393	0.0002893565479642362	0.0	0.0	0.9828416755590393	0.0002893565479642362	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
L-Lysine-e0	0.0	0.0	0.0	0.0	1.9656833511180787	0.0011574261918569449	0.0	0.0	1.9656833511180787	0.0011574261918569449	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1
L-Methionine-e0	0.0	0.0	0.0	0.0	1.9656833511180787	0.0011574261918569449	0.0	0.0	1.9656833511180787	0.0011574261918569449	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1
L-Phenylalanine	0.0	0.0	0.0	0.0	0.9828416755590393	0.0002893565479642362	0.0	0.0	0.9828416755590393	0.0002893565479642362	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
L-Phenylalanine-e0	0.0	0.0	0.0	0.0	0.9828416755590393	0.0002893565479642362	0.0	0.0	0.9828416755590393	0.0002893565479642362	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
L-Proline-e0	0.0	0.0	0.0	0.0	1.9656833511180787	0.0011574261918569449	0.0	0.0	1.9656833511180787	0.0011574261918569449	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1
L-Serine-e0	0.0	0.0	3.349386861329214e-05	1.3787635987703984e-05	1.9656833511180787	0.0011574261918569449	0.00010830122765369127	0.00010828929724511744	1.9657916523457326	0.0012658430281356607	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1	.Enterococcus_faecalis_KB1	2	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1.Enterococcus_faecalis_KB1Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
L-Threonine-e0	0.0	0.0	3.174819668547816e-05	9.975515477616813e-06	1.9656833511180787	0.0011574261918569449	0.00010830122765369127	0.00010828929724511744	1.9657916523457326	0.0012658430281356607	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1	.Enterococcus_faecalis_KB1	2	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1.Enterococcus_faecalis_KB1Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
L-Tryptophan	0.0	0.0	0.0	0.0	0.9828416755590393	0.0002893565479642362	0.0	0.0	0.9828416755590393	0.0002893565479642362	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
L-Tryptophan-e0	0.0	0.0	0.0	0.0	0.9828416755590393	0.0002893565479642362	0.0	0.0	0.9828416755590393	0.0002893565479642362	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
L-Tyrosine-e0	0.0	0.0	0.0	0.0	1.9656833511180787	0.0011574261918569449	0.0	0.0	1.9656833511180787	0.0011574261918569449	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1
L-Valine-e0	0.0	0.0	0.0	0.0	1.9656833511180787	0.0011574261918569449	0.0	0.0	1.9656833511180787	0.0011574261918569449	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1
Linolenic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Melitose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylguanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylhistidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mg-e0	0.0	0.0	0.0	0.0	1.9656833511180787	0.0011574261918569449	0.0	0.0	1.9656833511180787	0.0011574261918569449	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1
Mn2+-e0	0.0	0.0	0.0	0.0	1.9656833511180787	0.0011574261918569449	0.0	0.0	1.9656833511180787	0.0011574261918569449	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1
Molybdenum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-Acetyl-D-chondrosamine-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-Acetyl-D-glucosamine-e0	0.0	0.0	0.17709677531557005	0.8188543974492634	0.9828416755590393	0.0002893565479642362	0.03689832411909718	0.035513476972250727	1.0197399996781367	0.03582455985103359	Enterococcus_faecalis_KB1	1	.Enterococcus_faecalis_KB1	2	Enterococcus_faecalis_KB1.Enterococcus_faecalis_KB1Enterococcus_faecalis_KB1	2
N-acetyl-D-galactosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetyl-D-gluosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetylneuraminate (as sialic residue)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
NH3-e0	0.0	0.0	0.0	0.0	0.9825200594648903	0.000610678057632393	0.0	0.0	0.9825200594648903	0.000610678057632393	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
Na+-e0	0.0	0.0	0.0	0.0	0.9828416755590393	0.0002893565479642362	0.0	0.0	0.9828416755590393	0.0002893565479642362	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Niacin	0.0	0.0	0.0	0.0	1.9656833511180787	0.0011574261918569449	0.0	0.0	1.9656833511180787	0.0011574261918569449	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1
Nickel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Oleic acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
PAN	0.0	0.0	0.0	0.0	1.9656833511180787	0.0011574261918569449	0.0	0.0	1.9656833511180787	0.0011574261918569449	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1
Pb-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Pectin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Phosphate-e0	0.0	0.0	0.0	0.0	1.9656833511180787	0.0011574261918569449	0.0	0.0	1.9656833511180787	0.0011574261918569449	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1
Phosphoethanolamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Puryvate	5.481016679719402e-14	4.7405591988048394e-29	0.0	0.0	0.9828416755590393	0.0002893565479642362	0.0	0.0	0.9828416755590393	0.0002893565479642362	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
Putrescine-e0	0.0	0.0	4.3031741569751326e-11	4.228559479482644e-22	0.9828416755590393	0.0002893565479642362	0.0	0.0	0.9828416755590393	0.0002893565479642362	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Pyridoxal	190.27057366030536	10.84449773746095	19.35922930332582	3366.58724026616	1.9656833511180787	0.0011574261918569449	1.0828416755590393	0.0901766549230789	3.0485250266771184	0.09260927054584124	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1	Acutalibacter_muris_KB1.Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2	Acutalibacter_muris_KB1Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1.Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
Riboflavin	0.0	0.0	0.0	0.0	0.9828416755590393	0.0002893565479642362	0.0	0.0	0.9828416755590393	0.0002893565479642362	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
Riboflavin-e0	0.0	0.0	1.5138496485646562	144.2037492147346	0.9828416755590393	0.0002893565479642362	0.015639565239491306	0.015390772381070943	0.9984812407985307	0.015689337758334726	Enterococcus_faecalis_KB1	1	Enterococcus_faecalis_KB1.	2	Enterococcus_faecalis_KB1Enterococcus_faecalis_KB1.Enterococcus_faecalis_KB1	2
Selenium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Spermidine-e0	3.868975841669085e-14	2.9483581557369567e-28	-8.028620832276487e-10	1.4030082195138581e-19	1.764057183323093	0.3611955016638537	0.0	0.0	1.764057183323093	0.3611955016638537	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1.Acutalibacter_muris_KB1.	3		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1.Acutalibacter_muris_KB1.	3
Stachyose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Starch	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sucrose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sucrose-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sulfate-e0	0.0	0.0	0.0	0.0	1.9656833511180787	0.0011574261918569449	0.0	0.0	1.9656833511180787	0.0011574261918569449	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1
Thiamin-e0	0.0	0.0	5.950068559873222e-05	4.6050910081437567e-05	0.9828416755590393	0.0002893565479642362	7.917609221240259e-05	7.9169715795801e-05	0.9829208516512518	0.0003685728839254074	Enterococcus_faecalis_KB1	1	.Enterococcus_faecalis_KB1	2	Enterococcus_faecalis_KB1.Enterococcus_faecalis_KB1Enterococcus_faecalis_KB1	2
Thiamine	1.6931255830436914e-13	2.357265732192776e-26	0.0	0.0	0.9828416755590393	0.0002893565479642362	0.0	0.0	0.9828416755590393	0.0002893565479642362	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
Uracil-e0	0.0	0.0	0.0	0.0	1.0001074085935167	0.01726203539693177	0.0	0.0	1.0001074085935167	0.01726203539693177	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1.Acutalibacter_muris_KB1	2		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1.Acutalibacter_muris_KB1	2
Urea-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
VitA Retinol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Zn2+-e0	0.0	0.0	0.0	0.0	1.9656833511180787	0.0011574261918569449	0.0	0.0	1.9656833511180787	0.0011574261918569449	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1
acetylhexosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
carbonate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
fe3-e0	0.0	0.0	0.0	0.0	0.9828417218266517	0.0002894028428174724	0.0	0.0	0.9828417218266517	0.0002894028428174724	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1.Acutalibacter_muris_KB1	2		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1.Acutalibacter_muris_KB1	2
lactate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Acetate-e0	0.0	0.0	0.0	0.0	1.9656832585828543	0.0011576111533249341	0.0	0.0	1.9656832585828543	0.0011576111533249341	.Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		1	.Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
CO2-e0	0.0	0.0	0.0	0.0	1.9656832585828543	0.0011576111533249341	0.0	0.0	1.9656832585828543	0.0011576111533249341	.Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		1	.Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
Ethanol-e0	0.0	0.0	0.0	0.0	0.9847695213951487	0.002214649706130954	0.0	0.0	0.9847695213951487	0.002214649706130954	.Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1.Acutalibacter_muris_KB1	3		1	.Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1.Acutalibacter_muris_KB1	3
H2-e0	0.0	0.0	0.0	0.0	1.035378743713284	0.05004994894557389	0.0	0.0	1.035378743713284	0.05004994894557389	.Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1.Acutalibacter_muris_KB1	3		1	.Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1.Acutalibacter_muris_KB1	3
O2-e0	0.0	0.0	-1.700013428613299e-05	2.7349316395988666e-06	1.9656832585828543	0.0011576111533249341	0.00010830122765369127	0.00010828929724511744	1.9657915598105078	0.0012660280099909469	.Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2	.Enterococcus_faecalis_KB1	2	.Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1.Enterococcus_faecalis_KB1Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	3
XAN-e0-e0	0.0	0.0	0.0	0.0	0.9828416292914272	0.00028940278833123354	0.0	0.0	0.9828416292914272	0.00028940278833123354	.Acutalibacter_muris_KB1	2		1	.Acutalibacter_muris_KB1	2
5'-Deoxyadenosine-e0	0.0	0.0	0.0	0.0	1.9656038805329021	0.0013162673511362005	0.0	0.0	1.9656038805329021	0.0013162673511362005	.Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2		1	.Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
Formate-e0-e0	0.0	0.0	6.248470292158402e-06	5.460007314945479e-07	0.8307777568490877	0.12874354278011385	7.150549810868818e-05	7.150029734129338e-05	0.8308492623471964	0.12883720513241842	.Enterococcus_faecalis_KB1	2	.Enterococcus_faecalis_KB1	2	.Enterococcus_faecalis_KB1.Enterococcus_faecalis_KB1Enterococcus_faecalis_KB1	3
Fumarate-e0	0.0	0.0	0.0	0.0	0.9828019402664511	0.0003290668377840501	0.0	0.0	0.9828019402664511	0.0003290668377840501	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
Glycerol-e0	0.0	0.0	1.874505696516252e-05	4.914006596943973e-06	0.9423892513924232	0.03905348519268529	7.150549810868818e-05	7.150029734129338e-05	0.942460756890532	0.03913091199843584	.Enterococcus_faecalis_KB1	2	.Enterococcus_faecalis_KB1	2	.Enterococcus_faecalis_KB1.Enterococcus_faecalis_KB1Enterococcus_faecalis_KB1	3
Succinate-e0	0.0	0.0	0.0	0.0	0.05256965956410892	0.04975867224207507	0.0	0.0	0.05256965956410892	0.04975867224207507	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
XAN-e0	0.0	0.0	0.0	0.0	0.9828019402664511	0.0003290668377840501	0.0	0.0	0.9828019402664511	0.0003290668377840501	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
H2S-e0	0.0	0.0	0.0	0.0	1.93634096648781	0.03061479422006689	0.0	0.0	1.93634096648781	0.03061479422006689	.Acutalibacter_muris_KB1.Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	3		1	.Acutalibacter_muris_KB1.Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	3
5-Methylthio-D-ribose-e0	0.0	0.0	0.0	0.0	0.9823286982869337	0.0008017641099236151	0.0	0.0	0.9823286982869337	0.0008017641099236151	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
