	Avg_Muribaculum_intestinale_YL27	Var_Muribaculum_intestinale_YL27	Avg_Enterocloster_clostridioformis_YL32	Var_Enterocloster_clostridioformis_YL32	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
Choline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Choline-e0	0.0	0.0	0.0	0.0	0.9844823982830447	0.0002370593871964537	0.0	0.0	0.9844823982830447	0.0002370593871964537	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Chromium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Citrulline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cl--e0	0.0	0.0	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
Co2+-e0	0.0	0.0	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
Creatine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Creatinine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cu2+-e0	0.0	0.0	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
Cytosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cytosine-e0	0.0	0.0	0.0	0.0	0.9844823982830447	0.0002370593871964537	0.0	0.0	0.9844823982830447	0.0002370593871964537	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
D-Glucose-e0	0.00010685623527452422	2.228369717994232e-05	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0005121374783697415	0.000511871123541978	1.9694769340444596	0.001460601954877036	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1	.Muribaculum_intestinale_YL27	2	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27.Muribaculum_intestinale_YL27Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2
D-Mannose-e0	1.980539406290048e-13	1.2152381508406271e-25	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
Fe2+-e0	0.0	0.0	0.0	0.0	1.9676093268505823	0.002300535889140317	0.0	0.0	1.9676093268505823	0.002300535889140317	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27.Enterocloster_clostridioformis_YL32	2		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27.Enterocloster_clostridioformis_YL32	2
Folate	-0.0002671405866505629	0.00013927310737548278	0.0	0.0	0.9844823982830447	0.0002370593871964537	0.0005121374783697415	0.000511871123541978	0.9849945357614146	0.0007491771520130598	Muribaculum_intestinale_YL27	1	.Muribaculum_intestinale_YL27	2	Muribaculum_intestinale_YL27.Muribaculum_intestinale_YL27Muribaculum_intestinale_YL27	2
Folate-e0	0.0	0.0	2.264217047538761e-12	5.958322662132943e-25	0.8844823982830448	0.09003372417741766	0.0	0.0	0.8844823982830448	0.09003372417741766	Enterocloster_clostridioformis_YL32.	2		1	Enterocloster_clostridioformis_YL32.	2
Galactose-e0	2.473504386989627e-13	1.1370539441044429e-25	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
Gamma-Tocopherol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Glutamine	4.900912755916742e-13	3.7356178906031985e-26	0.0	0.0	0.9844823982830447	0.0002370593871964537	0.0	0.0	0.9844823982830447	0.0002370593871964537	Muribaculum_intestinale_YL27	1		1	Muribaculum_intestinale_YL27	1
Glycine-e0	3.212319020029835e-14	2.0191360246035332e-26	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
Guanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Guanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
H+-e0	0.0	0.0	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
H2-e0	0.0	0.0	0.0	0.0	0.9844823982830447	0.0002370593871964537	0.0	0.0	0.9844823982830447	0.0002370593871964537	Muribaculum_intestinale_YL27	1		1	Muribaculum_intestinale_YL27	1
H2O-e0	0.0	0.0	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
Hemin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Hydrocortisone	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Hypoxanthine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Inosine-e0	0.0	0.0	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
K+-e0	0.0	0.0	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
L-Alanine-e0	4.034496981183064e-13	1.1923269258467438e-25	0.0	0.0	0.9619415681300884	0.02225106071124846	0.0	0.0	0.9619415681300884	0.02225106071124846	.Muribaculum_intestinale_YL27	2		1	.Muribaculum_intestinale_YL27	2
L-Arginine-e0	3.368970371171302e-13	1.72378962461817e-25	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
L-Ascorbate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Ascorbate-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Asparagine-e0	0.0	0.0	0.0	0.0	0.9844823982830447	0.0002370593871964537	0.0	0.0	0.9844823982830447	0.0002370593871964537	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Aspartate-e0	5.282902162795151e-13	8.317120012464544e-26	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
L-Cysteine-e0	8.304348144627398e-14	4.924729774822288e-27	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
L-Cystine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Fucose-e0	0.0	0.0	0.0	0.0	0.9844823982830447	0.0002370593871964537	0.0	0.0	0.9844823982830447	0.0002370593871964537	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Glutamate	4.921721489853936e-13	8.595560923728574e-26	0.0	0.0	0.9501385933920191	0.033366524681028215	0.0	0.0	0.9501385933920191	0.033366524681028215	.Muribaculum_intestinale_YL27	2		1	.Muribaculum_intestinale_YL27	2
L-Glutamate-e0	0.0	0.0	0.0	0.0	0.9844823982830447	0.0002370593871964537	0.0	0.0	0.9844823982830447	0.0002370593871964537	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Glutamine-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Histidine-e0	0.0	0.0	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
L-Isoleucine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Isoleucine-e0	0.0	0.0	0.0	0.0	0.9844823982830447	0.0002370593871964537	0.0	0.0	0.9844823982830447	0.0002370593871964537	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Lactate-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Leucine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Leucine-e0	0.0	0.0	0.0	0.0	0.9844823982830447	0.0002370593871964537	0.0	0.0	0.9844823982830447	0.0002370593871964537	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Lysine-e0	0.0	0.0	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
L-Methionine-e0	0.0	0.0	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
L-Phenylalanine	0.0	0.0	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
L-Proline	0.0	0.0	0.0	0.0	0.9844823982830447	0.0002370593871964537	0.0	0.0	0.9844823982830447	0.0002370593871964537	Muribaculum_intestinale_YL27	1		1	Muribaculum_intestinale_YL27	1
L-Proline-e0	0.0	0.0	0.0	0.0	0.9844823982830447	0.0002370593871964537	0.0	0.0	0.9844823982830447	0.0002370593871964537	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Serine	7.265050396180644e-14	1.129511526944869e-25	0.0	0.0	0.9844823982830447	0.0002370593871964537	0.0	0.0	0.9844823982830447	0.0002370593871964537	Muribaculum_intestinale_YL27	1		1	Muribaculum_intestinale_YL27	1
L-Serine-e0	0.0	0.0	0.0	0.0	0.9844823982830447	0.0002370593871964537	0.0	0.0	0.9844823982830447	0.0002370593871964537	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Threonine	1.3387238393665234e-13	1.3966652597913696e-26	0.0	0.0	0.9844823982830447	0.0002370593871964537	0.0	0.0	0.9844823982830447	0.0002370593871964537	Muribaculum_intestinale_YL27	1		1	Muribaculum_intestinale_YL27	1
L-Threonine-e0	0.0	0.0	0.0	0.0	0.9844823982830447	0.0002370593871964537	0.0	0.0	0.9844823982830447	0.0002370593871964537	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Tryptophan	0.0	0.0	0.0	0.0	0.9844823982830447	0.0002370593871964537	0.0	0.0	0.9844823982830447	0.0002370593871964537	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Tyrosine	0.0	0.0	0.0	0.0	0.9844823982830447	0.0002370593871964537	0.0	0.0	0.9844823982830447	0.0002370593871964537	Muribaculum_intestinale_YL27	1		1	Muribaculum_intestinale_YL27	1
L-Tyrosine-e0	0.0	0.0	0.0	0.0	0.9844823982830447	0.0002370593871964537	0.0	0.0	0.9844823982830447	0.0002370593871964537	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Valine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Valine-e0	0.0	0.0	0.0	0.0	0.9844823982830447	0.0002370593871964537	0.0	0.0	0.9844823982830447	0.0002370593871964537	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Linolenic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Melitose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylguanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylhistidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mg-e0	0.0	0.0	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
Mn2+-e0	0.0	0.0	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
Molybdenum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-Acetyl-D-chondrosamine-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetyl-D-gluosamine	0.0	0.0	-3.7816988685498893e-14	2.0390393816103504e-27	0.9844823982830447	0.0002370593871964537	0.0	0.0	0.9844823982830447	0.0002370593871964537	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
NH3-e0	0.0	0.0	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
Na+-e0	0.0	0.0	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
Neu5Ac-e0	2.6941176544853055e-13	1.6522608055597525e-25	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
Niacin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Nickel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
O2-e0	-0.00010685623488921028	2.2283697180014674e-05	-1.838139985174747e-18	3.0820704734976582e-30	1.9689647965660895	0.0009482375487858147	0.0005121374783697415	0.000511871123541978	1.9694769340444596	0.001460601954877036	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1	.Muribaculum_intestinale_YL27	2	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27.Muribaculum_intestinale_YL27Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2
Oleic acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
PAN	65.1203897709357	3943.571769266373	112.05425611374051	1445.0522122650175	1.7689647965660895	0.36013489670967064	1.3984998084255351	0.440383562506487	3.1674646049916246	1.3699459402304839	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27.	2	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27.Enterocloster_clostridioformis_YL32.	3	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27.Enterocloster_clostridioformis_YL32Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27.	3
Pb-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Pectin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Phosphate-e0	0.0	0.0	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
Phosphoethanolamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Puryvate	0.0	0.0	-4.091212913753419e-14	2.135926519124869e-30	0.9844823982830447	0.0002370593871964537	0.0	0.0	0.9844823982830447	0.0002370593871964537	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Putrescine	2.5765238854771773e-13	2.6660655634732127e-25	0.0	0.0	0.9387175126634313	0.04385297980243454	0.0	0.0	0.9387175126634313	0.04385297980243454	.Muribaculum_intestinale_YL27	2		1	.Muribaculum_intestinale_YL27	2
Putrescine-e0	0.0	0.0	7.245478865432252e-13	4.668830756316421e-25	0.5250279512248311	0.2450961072493551	0.0	0.0	0.5250279512248311	0.2450961072493551	Enterocloster_clostridioformis_YL32.	2		1	Enterocloster_clostridioformis_YL32.	2
Pyridoxal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Riboflavin	46.86871697681783	3707.0245578779727	0.0	0.0	0.9844823982830447	0.0002370593871964537	0.3704649881405546	0.2310909782018314	1.3549473864235992	0.23150645053621616	Muribaculum_intestinale_YL27	1	.Muribaculum_intestinale_YL27	2	Muribaculum_intestinale_YL27.Muribaculum_intestinale_YL27Muribaculum_intestinale_YL27	2
Selenium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Spermidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Spermidine-e0	0.0	0.0	9.074044007335317e-13	7.324131119201064e-25	0.5250279512248311	0.2450961072493551	0.0	0.0	0.5250279512248311	0.2450961072493551	Enterocloster_clostridioformis_YL32.	2		1	Enterocloster_clostridioformis_YL32.	2
Stachyose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Starch	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Succinate-e0	2.707882701359148e-14	1.6314591807900377e-26	0.0	0.0	1.909836434038161	0.05646923326855507	0.0	0.0	1.909836434038161	0.05646923326855507	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27.Enterocloster_clostridioformis_YL32	2		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27.Enterocloster_clostridioformis_YL32	2
Sucrose	0.00021371247065842062	8.913478871972311e-05	0.0	0.0	0.9844823982830447	0.0002370593871964537	0.0005121374783697415	0.000511871123541978	0.9849945357614146	0.0007491771520130598	Muribaculum_intestinale_YL27	1	.Muribaculum_intestinale_YL27	2	Muribaculum_intestinale_YL27.Muribaculum_intestinale_YL27Muribaculum_intestinale_YL27	2
Sucrose-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sulfate-e0	0.0	0.0	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
Thiamin-e0	0.0	0.0	-6.869613645387118e-13	8.834417448639572e-26	1.7689647965660895	0.36013489670967064	0.0	0.0	1.7689647965660895	0.36013489670967064	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27.	2		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27.	2
Uracil	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Uracil-e0	0.0	0.0	0.0	0.0	0.9844823982830447	0.0002370593871964537	0.0	0.0	0.9844823982830447	0.0002370593871964537	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Urea-e0	0.0	0.0	0.0	0.0	0.9844823982830447	0.0002370593871964537	0.0	0.0	0.9844823982830447	0.0002370593871964537	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
VitA Retinol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Zn2+-e0	0.0	0.0	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
acetylhexosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
acgal-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
acgam-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
carbonate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
core3-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
core4-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
fe3-e0	0.0	0.0	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
fucose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
lactate	3.182646851301034e-14	3.64445976795502e-26	0.0	0.0	0.9844823982830447	0.0002370593871964537	0.0	0.0	0.9844823982830447	0.0002370593871964537	Muribaculum_intestinale_YL27	1		1	Muribaculum_intestinale_YL27	1
5'-Deoxyadenosine-e0	0.0	0.0	0.0	0.0	0.9844813020216606	0.00023815511940962562	0.0	0.0	0.9844813020216606	0.00023815511940962562	.Muribaculum_intestinale_YL27	2		1	.Muribaculum_intestinale_YL27	2
5-Methylthio-D-ribose-e0	0.0	0.0	0.0	0.0	0.9844813020216606	0.00023815511940962562	0.0	0.0	0.9844813020216606	0.00023815511940962562	.Muribaculum_intestinale_YL27	2		1	.Muribaculum_intestinale_YL27	2
Formate-e0-e0	0.0	0.0	0.0	0.0	0.9844813020216606	0.00023815511940962562	0.0	0.0	0.9844813020216606	0.00023815511940962562	.Muribaculum_intestinale_YL27	2		1	.Muribaculum_intestinale_YL27	2
Glycolaldehyde-e0	0.0	0.0	0.0	0.0	0.9844813020216606	0.00023815511940962562	0.0	0.0	0.9844813020216606	0.00023815511940962562	.Muribaculum_intestinale_YL27	2		1	.Muribaculum_intestinale_YL27	2
H2S-e0	0.0	0.0	0.0	0.0	1.9689626040433212	0.0009526204776385025	0.0	0.0	1.9689626040433212	0.0009526204776385025	.Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2		1	.Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	2
