	Enterocloster_clostridioformis_YL32	Enterococcus_faecalis_KB1	In	InAmount	Out	OutAmount	All	AllAmount
Formate-e0-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Fumarate-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Galactose-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Gamma-Tocopherol	0.0	0.0		0		0		0
Glycerol-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Glycine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Guanidine	0.0	0.0		0		0		0
Guanine	0.0	0.0		0		0		0
H+-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
H2-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
H2O-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
Hemin	0.0	0.0		0		0		0
Hydrocortisone	0.0	0.0		0		0		0
Hypoxanthine	0.0	0.0		0		0		0
Inosine	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Inosine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
K+-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
L-Alanine-e0	0.0	0.0		0		0		0
L-Arginine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
L-Ascorbate-e0	0.0	0.0		0		0		0
L-Asparagine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
L-Aspartate-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
L-Cysteine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
L-Cystine	0.0	0.0		0		0		0
L-Fucose-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
L-Glutamate-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
L-Glutamine-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
L-Histidine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
L-Isoleucine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
L-Lactate-e0	0.0	0.0		0		0		0
L-Leucine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
L-Lysine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
L-Methionine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
L-Phenylalanine	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
L-Phenylalanine-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
L-Proline-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
L-Serine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
L-Threonine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
L-Tryptophan	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
L-Tryptophan-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
L-Tyrosine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
L-Valine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
Linolenic	0.0	0.0		0		0		0
Melitose	0.0	0.0		0		0		0
Methylguanidine	0.0	0.0		0		0		0
Methylhistidine	0.0	0.0		0		0		0
Mg-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
Mn2+-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
Molybdenum	0.0	0.0		0		0		0
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0		0		0		0
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0		0		0		0
N-Acetyl-D-chondrosamine-e0	0.0	0.0		0		0		0
N-Acetyl-D-glucosamine-e0	0.0	-1.3279633469254204e-11	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
N-acetyl-D-gluosamine	-7.105427357601002e-14	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
N-acetylneuraminate (as sialic residue)	0.0	0.0		0		0		0
NH3-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Na+-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
Neu5Ac-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Niacin	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Nickel	0.0	0.0		0		0		0
O2-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
Oleic acid	0.0	0.0		0		0		0
PAN	126.6890741198708	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2	Enterocloster_clostridioformis_YL32	1	Enterocloster_clostridioformis_YL32Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	3
Pb-e0	0.0	0.0		0		0		0
Pectin	0.0	0.0		0		0		0
Phosphate-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
Phosphoethanolamine	0.0	0.0		0		0		0
Propanal-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
Puryvate	-6.16243167606001e-14	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Putrescine-e0	1.3789872022051952e-12	-3.8063231819901455e-11	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
Pyridoxal	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Riboflavin	0.0	0.0		0		0		0
Riboflavin-e0	0.0	96.79614651991177	Enterococcus_faecalis_KB1	1	Enterococcus_faecalis_KB1	1	Enterococcus_faecalis_KB1Enterococcus_faecalis_KB1	2
Selenium	0.0	0.0		0		0		0
Spermidine-e0	1.7396986629059086e-12	-5.489653176482534e-11	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
Stachyose	0.0	0.0		0		0		0
Starch	0.0	0.0		0		0		0
Succinate-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
Sucrose-e0	0.0	0.0		0		0		0
Sulfate-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
Thiamin-e0	-1.0186573806691968e-12	-8.668621376273222e-11	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
Uracil-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
Urea-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
VitA Retinol	0.0	0.0		0		0		0
Vitamin K1	0.0	0.0		0		0		0
Vitamin K3	0.0	0.0		0		0		0
XAN-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
Zn2+-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
acetylhexosamine	0.0	0.0		0		0		0
carbonate	0.0	0.0		0		0		0
fe3-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
lactate	0.0	0.0		0		0		0
