	Avg_Bacteroides_caecimuris_I48	Var_Bacteroides_caecimuris_I48	Avg_Enterocloster_clostridioformis_YL32	Var_Enterocloster_clostridioformis_YL32	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
Choline-e0	0.0	0.0	0.0	0.0	0.995509153326725	2.0077133777155163e-05	0.0	0.0	0.995509153326725	2.0077133777155163e-05	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Chromium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Citrulline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cl--e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
Co2+-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
Creatine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Creatinine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cu2+-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
Cytosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cytosine-e0	0.0	0.0	0.0	0.0	0.995509153326725	2.0077133777155163e-05	0.0	0.0	0.995509153326725	2.0077133777155163e-05	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
D-Glucose-e0	0.00017658358276070605	1.6943182459529792e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0018375528091396543	0.0018341610450189345	1.9928558594625898	0.0019146178170109526	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1	.Bacteroides_caecimuris_I48	2	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32.Bacteroides_caecimuris_I48Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	2
D-Mannose-e0	0.0	0.0	0.0	0.0	0.995509153326725	2.0077133777155163e-05	0.0	0.0	0.995509153326725	2.0077133777155163e-05	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Fe2+-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
Folate	64.95331871275498	1247.986309115573	0.0	0.0	0.995509153326725	2.0077133777155163e-05	0.7708784091922146	0.17395618598222312	1.7663875625189398	0.17400735681091117	Bacteroides_caecimuris_I48	1	.Bacteroides_caecimuris_I48	2	Bacteroides_caecimuris_I48.Bacteroides_caecimuris_I48Bacteroides_caecimuris_I48	2
Folate-e0	0.0	0.0	2.166842588515983e-12	2.4476288728506796e-26	0.995509153326725	2.0077133777155163e-05	0.0	0.0	0.995509153326725	2.0077133777155163e-05	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Formate-e0	0.0	0.0	-1.390440060210562e-13	4.2459581345255615e-26	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
Galactose-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
Gamma-Tocopherol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Glutamine	0.0	0.0	0.0	0.0	0.0030944110642432674	0.0030847926828460807	0.0	0.0	0.0030944110642432674	0.0030847926828460807	.Bacteroides_caecimuris_I48	2		1	.Bacteroides_caecimuris_I48	2
Glycerol-e0	0.0	0.0	0.0	0.0	0.995509153326725	2.0077133777155163e-05	0.0	0.0	0.995509153326725	2.0077133777155163e-05	Bacteroides_caecimuris_I48	1		1	Bacteroides_caecimuris_I48	1
Glycine-e0	0.0	0.0	0.0	0.0	0.995509153326725	2.0077133777155163e-05	0.0	0.0	0.995509153326725	2.0077133777155163e-05	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Guanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Guanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
H+-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
H2-e0	0.0	0.0	0.0	0.0	0.995509153326725	2.0077133777155163e-05	0.0	0.0	0.995509153326725	2.0077133777155163e-05	Bacteroides_caecimuris_I48	1		1	Bacteroides_caecimuris_I48	1
H2O-e0	0.0	0.0	0.0	0.0	0.9955849089613281	9.58300593258858e-05	0.0	0.0	0.9955849089613281	9.58300593258858e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32	2		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32	2
Hemin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Hydrocortisone	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Hypoxanthine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Inosine-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
K+-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
L-Alanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Alanine-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Arginine-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
L-Ascorbate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Ascorbate-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Asparagine-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
L-Aspartate-e0	2.985154106061745e-05	2.757675087173459e-06	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.00032303469991877386	0.0003229298798752068	1.9913413413533687	0.00040326447445646285	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1	.Bacteroides_caecimuris_I48	2	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32.Bacteroides_caecimuris_I48Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	2
L-Cysteine-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
L-Cystine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Fucose-e0	0.0	0.0	0.0	0.0	0.995509153326725	2.0077133777155163e-05	0.0	0.0	0.995509153326725	2.0077133777155163e-05	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Glutamate-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
L-Glutamine-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Glycine	0.0	0.0	0.0	0.0	0.00019289847883657325	0.00019286110190982534	0.0	0.0	0.00019289847883657325	0.00019286110190982534	Bacteroides_caecimuris_I48.	2		1	Bacteroides_caecimuris_I48.	2
L-Histidine-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
L-Isoleucine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Isoleucine-e0	0.0	0.0	0.0	0.0	0.995509153326725	2.0077133777155163e-05	0.0	0.0	0.995509153326725	2.0077133777155163e-05	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Lactate-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Leucine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Leucine-e0	0.0	0.0	0.0	0.0	0.995509153326725	2.0077133777155163e-05	0.0	0.0	0.995509153326725	2.0077133777155163e-05	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Lysine-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
L-Methionine-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
L-Phenylalanine	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
L-Proline	0.0	0.0	0.0	0.0	0.995509153326725	2.0077133777155163e-05	0.0	0.0	0.995509153326725	2.0077133777155163e-05	Bacteroides_caecimuris_I48	1		1	Bacteroides_caecimuris_I48	1
L-Proline-e0	0.0	0.0	0.0	0.0	0.995509153326725	2.0077133777155163e-05	0.0	0.0	0.995509153326725	2.0077133777155163e-05	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Serine	8.82917880875158e-05	4.235795615460934e-06	0.0	0.0	0.995509153326725	2.0077133777155163e-05	0.0018375528091396543	0.0018341610450189345	0.9973467061358646	0.0018543122972377898	Bacteroides_caecimuris_I48	1	.Bacteroides_caecimuris_I48	2	Bacteroides_caecimuris_I48.Bacteroides_caecimuris_I48Bacteroides_caecimuris_I48	2
L-Serine-e0	0.0	0.0	0.0	0.0	0.995509153326725	2.0077133777155163e-05	0.0	0.0	0.995509153326725	2.0077133777155163e-05	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Threonine	0.0	0.0	0.0	0.0	0.995509153326725	2.0077133777155163e-05	0.0	0.0	0.995509153326725	2.0077133777155163e-05	Bacteroides_caecimuris_I48	1		1	Bacteroides_caecimuris_I48	1
L-Threonine-e0	0.0	0.0	0.0	0.0	0.995509153326725	2.0077133777155163e-05	0.0	0.0	0.995509153326725	2.0077133777155163e-05	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Tryptophan	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
L-Tyrosine	0.0	0.0	0.0	0.0	0.995509153326725	2.0077133777155163e-05	0.0	0.0	0.995509153326725	2.0077133777155163e-05	Bacteroides_caecimuris_I48	1		1	Bacteroides_caecimuris_I48	1
L-Tyrosine-e0	0.0	0.0	0.0	0.0	0.995509153326725	2.0077133777155163e-05	0.0	0.0	0.995509153326725	2.0077133777155163e-05	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Valine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Valine-e0	0.0	0.0	0.0	0.0	0.995509153326725	2.0077133777155163e-05	0.0	0.0	0.995509153326725	2.0077133777155163e-05	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Linolenic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Melitose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylguanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylhistidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mg-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
Mn2+-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
Molybdenum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-Acetyl-D-chondrosamine-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetyl-D-gluosamine	0.0	0.0	-8.527094019113428e-14	8.26035852228942e-28	0.995509153326725	2.0077133777155163e-05	0.0	0.0	0.995509153326725	2.0077133777155163e-05	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
NH3-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
Na+-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
Neu5Ac-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
Niacin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Nickel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
O2-e0	-0.00017658356408662145	1.6943182466101236e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0018375528091396543	0.0018341610450189345	1.9928558594625898	0.0019146178170109526	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1	.Bacteroides_caecimuris_I48	2	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32.Bacteroides_caecimuris_I48Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	2
Oleic acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
PAN	27.613279665650374	2732.3833801335613	126.1201329127658	0.3222404365219221	1.99101830665345	8.030853510862065e-05	1.213470172131121	0.17026953508788886	3.204488478784571	0.17044773525121223	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32	2	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	2
Pb-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Pectin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Phosphate-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
Phosphoethanolamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Puryvate	0.0	0.0	-4.9365049666485535e-14	5.773749970686823e-29	0.995509153326725	2.0077133777155163e-05	0.0	0.0	0.995509153326725	2.0077133777155163e-05	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Putrescine-e0	0.0	0.0	1.057722931250774e-12	3.120815493758079e-25	0.7792430084819371	0.1692964117957501	0.0	0.0	0.7792430084819371	0.1692964117957501	Enterocloster_clostridioformis_YL32.	2		1	Enterocloster_clostridioformis_YL32.	2
Pyridoxal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Riboflavin	0.8454459781289572	106.33205561488593	0.0	0.0	0.995509153326725	2.0077133777155163e-05	0.008184243439335465	0.008116960793484795	1.0036933967660606	0.008137368042057676	Bacteroides_caecimuris_I48	1	.Bacteroides_caecimuris_I48	2	Bacteroides_caecimuris_I48.Bacteroides_caecimuris_I48Bacteroides_caecimuris_I48	2
Selenium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sorbitol-e0-e0	0.0	0.0	0.0	0.0	0.995509153326725	2.0077133777155163e-05	0.0	0.0	0.995509153326725	2.0077133777155163e-05	Bacteroides_caecimuris_I48	1		1	Bacteroides_caecimuris_I48	1
Spermidine-e0	8.871275530481037e-05	6.475767738388097e-06	1.3409575711456419e-12	5.022160509597202e-25	1.5584860169638741	0.6771856471830004	0.0018375528091396543	0.0018341610450189345	1.560323569773014	0.6806166969709989	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32.	2	.Bacteroides_caecimuris_I48	2	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32.Bacteroides_caecimuris_I48Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32.	3
Stachyose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Starch	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Succinate-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
Sucrose-e0	-3.382530799420878e-12	2.7811898859881627e-24	0.0	0.0	0.995509153326725	2.0077133777155163e-05	0.0	0.0	0.995509153326725	2.0077133777155163e-05	Bacteroides_caecimuris_I48	1		1	Bacteroides_caecimuris_I48	1
Sulfate-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
Thiamin-e0	0.0	0.0	-1.752213001576644e-12	6.208622119833894e-26	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
Uracil-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
Urea-e0	0.0	0.0	0.0	0.0	0.995509153326725	2.0077133777155163e-05	0.0	0.0	0.995509153326725	2.0077133777155163e-05	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
VitA Retinol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
XAN-e0	0.0	0.0	0.0	0.0	0.995509153326725	2.0077133777155163e-05	0.0	0.0	0.995509153326725	2.0077133777155163e-05	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Zn2+-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
acetylhexosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
acgam-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
carbonate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
core3-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
core4-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
fe3-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
fucose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
lactate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
5'-Deoxyadenosine-e0	0.0	0.0	0.0	0.0	0.995433397692122	9.582394805707259e-05	0.0	0.0	0.995433397692122	9.582394805707259e-05	.Bacteroides_caecimuris_I48	2		1	.Bacteroides_caecimuris_I48	2
5-Methylthio-D-ribose-e0	0.0	0.0	0.0	0.0	0.995433397692122	9.582394805707259e-05	0.0	0.0	0.995433397692122	9.582394805707259e-05	.Bacteroides_caecimuris_I48	2		1	.Bacteroides_caecimuris_I48	2
Glycolaldehyde-e0	0.0	0.0	0.0	0.0	0.995433397692122	9.582394805707259e-05	0.0	0.0	0.995433397692122	9.582394805707259e-05	.Bacteroides_caecimuris_I48	2		1	.Bacteroides_caecimuris_I48	2
