	Avg_Turicimonas_muris_YL45	Var_Turicimonas_muris_YL45	Avg_Enterocloster_clostridioformis_YL32	Var_Enterocloster_clostridioformis_YL32	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
Citrulline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cl--e0	0.0	0.0	0.0	0.0	1.970419535310897	0.0008620623803696858	0.0	0.0	1.970419535310897	0.0008620623803696858	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1		1	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1
Co2+-e0	0.0	0.0	0.0	0.0	1.970419535310897	0.0008620623803696858	0.0	0.0	1.970419535310897	0.0008620623803696858	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1		1	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1
Creatine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Creatinine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cu2+-e0	0.0	0.0	0.0	0.0	1.970419535310897	0.0008620623803696858	0.0	0.0	1.970419535310897	0.0008620623803696858	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1		1	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1
Cytosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cytosine-e0	0.0	0.0	0.0	0.0	0.9852097676554485	0.00021551559509242144	0.0	0.0	0.9852097676554485	0.00021551559509242144	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
D-Glucose-e0	0.0	0.0	0.0001760604562016592	6.053376117243585e-05	0.9852097676554485	0.00021551559509242144	0.0006847995066937118	0.0006843236204444968	0.9858945671621422	0.0009001388166534526	Enterocloster_clostridioformis_YL32	1	.Enterocloster_clostridioformis_YL32	2	Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32Enterocloster_clostridioformis_YL32	2
D-Mannose-e0	0.0	0.0	0.00011415719056737292	5.1697693419775934e-05	0.9852097676554485	0.00021551559509242144	0.00025201377015824565	0.0002519493198763321	0.9854617814256068	0.0004675751714835181	Enterocloster_clostridioformis_YL32	1	.Enterocloster_clostridioformis_YL32	2	Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32Enterocloster_clostridioformis_YL32	2
Fe2+-e0	0.0	0.0	0.0	0.0	1.970419535310897	0.0008620623803696858	0.0	0.0	1.970419535310897	0.0008620623803696858	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1		1	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1
Folate	8.700942503350952e-13	6.752795616628228e-23	0.0	0.0	0.9852097676554485	0.00021551559509242144	0.0	0.0	0.9852097676554485	0.00021551559509242144	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
Folate-e0	0.0	0.0	3.3627944529842547e-17	5.152713187764295e-29	0.9487941867918142	0.035269456795408355	0.0	0.0	0.9487941867918142	0.035269456795408355	Enterocloster_clostridioformis_YL32.	2		1	Enterocloster_clostridioformis_YL32.	2
Formate-e0-e0	0.0	0.0	0.0	0.0	0.9852097676554485	0.00021551559509242144	0.0	0.0	0.9852097676554485	0.00021551559509242144	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
Galactose-e0	0.0	0.0	5.340314908294756e-12	1.2443488497675083e-24	0.9852097676554485	0.00021551559509242144	0.0	0.0	0.9852097676554485	0.00021551559509242144	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Gamma-Tocopherol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Glycine-e0	0.0	0.0	3.6655186313962774e-12	5.628959730134348e-25	1.966469568380874	0.004792740074474309	0.0	0.0	1.966469568380874	0.004792740074474309	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45.Turicimonas_muris_YL45	2		1	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45.Turicimonas_muris_YL45	2
Guanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Guanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
H+-e0	0.0	0.0	0.0	0.0	1.970419535310897	0.0008620623803696858	0.0	0.0	1.970419535310897	0.0008620623803696858	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1		1	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1
H2O-e0	0.0	0.0	0.0	0.0	1.970419535310897	0.0008620623803696858	0.0	0.0	1.970419535310897	0.0008620623803696858	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1		1	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1
Hemin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Hydrocortisone	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Hypoxanthine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Inosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Inosine-e0	0.0	0.0	3.447883800394178e-12	3.874478391665941e-25	0.9852097676554485	0.00021551559509242144	0.0	0.0	0.9852097676554485	0.00021551559509242144	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
K+-e0	0.0	0.0	0.0	0.0	1.970419535310897	0.0008620623803696858	0.0	0.0	1.970419535310897	0.0008620623803696858	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1		1	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1
L-Alanine-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Arginine-e0	0.0	0.0	0.0	0.0	1.970419535310897	0.0008620623803696858	0.0	0.0	1.970419535310897	0.0008620623803696858	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1		1	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1
L-Ascorbate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Ascorbate-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Asparagine-e0	-6.395616046039555e-14	4.3994696750031405e-26	5.7078596645663524e-05	1.2924423354791358e-05	1.970419535310897	0.0008620623803696858	0.00025201377015824565	0.0002519493198763321	1.9706715490810556	0.0011142322132755337	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1	.Enterocloster_clostridioformis_YL32	2	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45.Enterocloster_clostridioformis_YL32Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	2
L-Aspartate-e0	-1.2551687591247472e-13	5.76588626418246e-26	5.707859646608334e-05	1.2924423354813781e-05	1.970419535310897	0.0008620623803696858	0.00025201377015824565	0.0002519493198763321	1.9706715490810556	0.0011142322132755337	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1	.Enterocloster_clostridioformis_YL32	2	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45.Enterocloster_clostridioformis_YL32Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	2
L-Cysteine-e0	0.0	0.0	0.0	0.0	1.970419535310897	0.0008620623803696858	0.0	0.0	1.970419535310897	0.0008620623803696858	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1		1	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1
L-Cystine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Fucose-e0	0.0	0.0	0.0	0.0	0.9852097676554485	0.00021551559509242144	0.0	0.0	0.9852097676554485	0.00021551559509242144	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Glutamate-e0	0.0	0.0	0.0001189818613074066	2.1767662328583434e-05	1.970419535310897	0.0008620623803696858	0.0006847995066937118	0.0006843236204444968	1.971104334817591	0.0015469852030472384	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1	.Enterocloster_clostridioformis_YL32	2	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45.Enterocloster_clostridioformis_YL32Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	2
L-Glutamine-e0	0.0	0.0	6.052605971631696e-12	1.2120791285519274e-24	0.9570773030114745	0.0275325311481846	0.0	0.0	0.9570773030114745	0.0275325311481846	.Enterocloster_clostridioformis_YL32	2		1	.Enterocloster_clostridioformis_YL32	2
L-Histidine-e0	0.0	0.0	0.0	0.0	1.970419535310897	0.0008620623803696858	0.0	0.0	1.970419535310897	0.0008620623803696858	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1		1	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1
L-Isoleucine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Isoleucine-e0	0.0	0.0	0.0	0.0	0.9852097676554485	0.00021551559509242144	0.0	0.0	0.9852097676554485	0.00021551559509242144	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Lactate-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Leucine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Leucine-e0	0.0	0.0	0.0	0.0	0.9852097676554485	0.00021551559509242144	0.0	0.0	0.9852097676554485	0.00021551559509242144	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Lysine-e0	0.0	0.0	0.0	0.0	1.2246164436842804	0.18156366558531095	0.0	0.0	1.2246164436842804	0.18156366558531095	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45.Enterocloster_clostridioformis_YL32	2		1	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45.Enterocloster_clostridioformis_YL32	2
L-Methionine-e0	0.0	0.0	0.0	0.0	1.970419535310897	0.0008620623803696858	0.0	0.0	1.970419535310897	0.0008620623803696858	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1		1	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1
L-Phenylalanine	0.0	0.0	0.0	0.0	1.970419535310897	0.0008620623803696858	0.0	0.0	1.970419535310897	0.0008620623803696858	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1		1	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1
L-Proline-e0	0.0	0.0	0.0	0.0	1.970419535310897	0.0008620623803696858	0.0	0.0	1.970419535310897	0.0008620623803696858	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1		1	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1
L-Serine-e0	1.0738878345142215e-13	5.086138098588458e-26	5.949093447546451e-05	5.441915581681074e-06	1.970419535310897	0.0008620623803696858	0.0006847995066937118	0.0006843236204444968	1.971104334817591	0.0015469852030472384	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1	.Enterocloster_clostridioformis_YL32	2	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45.Enterocloster_clostridioformis_YL32Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	2
L-Threonine-e0	0.0	0.0	3.3943774342564746e-12	6.784230733588853e-25	1.2961098795685737	0.21316316003721203	0.0	0.0	1.2961098795685737	0.21316316003721203	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45.Enterocloster_clostridioformis_YL32	2		1	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45.Enterocloster_clostridioformis_YL32	2
L-Tryptophan	0.0	0.0	0.0	0.0	1.970419535310897	0.0008620623803696858	0.0	0.0	1.970419535310897	0.0008620623803696858	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1		1	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1
L-Tyrosine	0.0	0.0	0.0	0.0	0.9852097676554485	0.00021551559509242144	0.0	0.0	0.9852097676554485	0.00021551559509242144	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
L-Tyrosine-e0	0.0	0.0	0.0	0.0	0.9852097676554485	0.00021551559509242144	0.0	0.0	0.9852097676554485	0.00021551559509242144	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Valine-e0	0.0	0.0	0.0	0.0	0.9852097676554485	0.00021551559509242144	0.0	0.0	0.9852097676554485	0.00021551559509242144	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Linolenic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Melitose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylguanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylhistidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mg	0.0	0.0	0.0	0.0	0.9852097676554485	0.00021551559509242144	0.0	0.0	0.9852097676554485	0.00021551559509242144	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
Mg-e0	0.0	0.0	0.0	0.0	0.9852097676554485	0.00021551559509242144	0.0	0.0	0.9852097676554485	0.00021551559509242144	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Mn2+	0.0	0.0	0.0	0.0	0.9852097676554485	0.00021551559509242144	0.0	0.0	0.9852097676554485	0.00021551559509242144	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
Mn2+-e0	0.0	0.0	0.0	0.0	0.9852097676554485	0.00021551559509242144	0.0	0.0	0.9852097676554485	0.00021551559509242144	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Molybdenum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-Acetyl-D-chondrosamine-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetyl-D-galactosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetyl-D-gluosamine	0.0	0.0	0.1952618039532086	3.4994965121161004	0.9852097676554485	0.00021551559509242144	0.011212113636101969	0.01108454284173525	0.9964218812915506	0.011304963758357892	Enterocloster_clostridioformis_YL32	1	.Enterocloster_clostridioformis_YL32	2	Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32Enterocloster_clostridioformis_YL32	2
N-acetylneuraminate (as sialic residue)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
NH3-e0	0.0	0.0	0.0	0.0	1.970419535310897	0.0008620623803696858	0.0	0.0	1.970419535310897	0.0008620623803696858	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1		1	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1
Na+-e0	0.0	0.0	0.0	0.0	1.970419535310897	0.0008620623803696858	0.0	0.0	1.970419535310897	0.0008620623803696858	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1		1	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1
Neu5Ac-e0	0.0	0.0	0.0	0.0	0.9852097676554485	0.00021551559509242144	0.0	0.0	0.9852097676554485	0.00021551559509242144	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Niacin	0.0	0.0	0.0	0.0	0.9852097676554485	0.00021551559509242144	0.0	0.0	0.9852097676554485	0.00021551559509242144	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
Nickel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
O2-e0	0.0	0.0	-0.00011898185897273378	2.1767662329140074e-05	1.970419535310897	0.0008620623803696858	0.0006847995066937118	0.0006843236204444968	1.971104334817591	0.0015469852030472384	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1	.Enterocloster_clostridioformis_YL32	2	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45.Enterocloster_clostridioformis_YL32Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	2
Oleic acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
PAN	0.0	0.0	1.8203058535457715	227.25034216477283	1.970419535310897	0.0008620623803696858	0.014368293921245117	0.014158792639070423	1.9847878292321424	0.01503342733253143	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1	Enterocloster_clostridioformis_YL32.	2	Enterocloster_clostridioformis_YL32Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45.Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	2
Pb-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Pectin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Phosphate-e0	0.0	0.0	0.0	0.0	1.970419535310897	0.0008620623803696858	0.0	0.0	1.970419535310897	0.0008620623803696858	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1		1	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1
Phosphoethanolamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Puryvate	0.0	0.0	5.9490929633495354e-05	5.44191558226696e-06	0.9852097676554485	0.00021551559509242144	0.0006847995066937118	0.0006843236204444968	0.9858945671621422	0.0009001388166534526	Enterocloster_clostridioformis_YL32	1	.Enterocloster_clostridioformis_YL32	2	Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32Enterocloster_clostridioformis_YL32	2
Putrescine-e0	0.0	0.0	-6.19032623787999e-05	8.850410195205524e-06	0.9852097676554485	0.00021551559509242144	0.0004327857365354662	0.00043259566277952617	0.9856425533919841	0.0006483006024737112	Enterocloster_clostridioformis_YL32	1	.Enterocloster_clostridioformis_YL32	2	Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32Enterocloster_clostridioformis_YL32	2
Pyridoxal	0.0	0.0	0.0	0.0	0.9852097676554485	0.00021551559509242144	0.0	0.0	0.9852097676554485	0.00021551559509242144	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
Pyruvate-e0	2.5013536784986244e-13	5.324959150282938e-26	0.0	0.0	0.9852097676554485	0.00021551559509242144	0.0	0.0	0.9852097676554485	0.00021551559509242144	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
Riboflavin	124.81531327556863	3.4590514865276196	0.0	0.0	0.9852097676554485	0.00021551559509242144	0.9852097676554485	0.00021551559509242144	1.970419535310897	0.0008620623803696858	Turicimonas_muris_YL45	1	Turicimonas_muris_YL45	1	Turicimonas_muris_YL45Turicimonas_muris_YL45	1
Selenium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Spermidine-e0	-7.526926037583329e-13	8.309047501022286e-25	0.00011415719433108432	5.169769341890436e-05	1.4201005309567312	0.7936882965124119	0.00025201377015824565	0.0002519493198763321	1.4203525447268897	0.7942219447339847	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45.	2	.Enterocloster_clostridioformis_YL32	2	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45.Enterocloster_clostridioformis_YL32Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45.	3
Stachyose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Starch	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sucrose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sucrose-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sulfate-e0	0.0	0.0	0.0	0.0	1.970419535310897	0.0008620623803696858	0.0	0.0	1.970419535310897	0.0008620623803696858	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1		1	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1
Thiamin-e0	0.0	0.0	243.08520564145306	1628.113799751158	1.970419535310897	0.0008620623803696858	0.960062145834637	0.024710379013608855	2.930481681145535	0.026412499507399916	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1	.Enterocloster_clostridioformis_YL32	2	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45.Enterocloster_clostridioformis_YL32Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	2
Uracil-e0	0.0	0.0	0.0	0.0	1.970419535310897	0.0008620623803696858	0.0	0.0	1.970419535310897	0.0008620623803696858	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1		1	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1
Urea-e0	0.0	0.0	0.0	0.0	0.9852097676554485	0.00021551559509242144	0.0	0.0	0.9852097676554485	0.00021551559509242144	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
VitA Retinol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Zn2+-e0	0.0	0.0	0.0	0.0	1.970419535310897	0.0008620623803696858	0.0	0.0	1.970419535310897	0.0008620623803696858	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1		1	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1
acetylhexosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
carbonate	0.0	0.0	0.0	0.0	0.9852097676554485	0.00021551559509242144	0.0	0.0	0.9852097676554485	0.00021551559509242144	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
fe3-e0	0.0	0.0	0.0	0.0	1.970419535310897	0.0008620623803696858	0.0	0.0	1.970419535310897	0.0008620623803696858	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1		1	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1
Fumarate-e0	0.0	0.0	-2.8539298435184008e-05	3.231105838687224e-06	1.970418669108175	0.0008637940271219603	0.00025201377015824565	0.0002519493198763321	1.9706706828783331	0.0011159643030751293	.Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	2	.Enterocloster_clostridioformis_YL32	2	.Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45.Enterocloster_clostridioformis_YL32Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	3
Succinate-e0	0.0	0.0	0.0	0.0	1.970418669108175	0.0008637940271219603	0.0	0.0	1.970418669108175	0.0008637940271219603	.Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	2		1	.Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	2
XAN-e0	0.0	0.0	0.0	0.0	0.9852093345540875	0.00021594850678049006	0.0	0.0	0.9852093345540875	0.00021594850678049006	.Enterocloster_clostridioformis_YL32	2		1	.Enterocloster_clostridioformis_YL32	2
D-Glyceraldehyde-e0	0.0	0.0	0.0	0.0	0.9851875410630104	0.0002377319620250601	0.0	0.0	0.9851875410630104	0.0002377319620250601	.Turicimonas_muris_YL45	2		1	.Turicimonas_muris_YL45	2
Glycolaldehyde-e0	0.0	0.0	0.0	0.0	0.9851875410630104	0.0002377319620250601	0.0	0.0	0.9851875410630104	0.0002377319620250601	.Turicimonas_muris_YL45	2		1	.Turicimonas_muris_YL45	2
5'-Deoxyadenosine-e0	0.0	0.0	0.0	0.0	0.9842228360894605	0.0012010269364962803	0.0	0.0	0.9842228360894605	0.0012010269364962803	.Turicimonas_muris_YL45	2		1	.Turicimonas_muris_YL45	2
D-Ribose-e0	0.0	0.0	0.0	0.0	1.914154606022949	0.1101301245927384	0.0	0.0	1.914154606022949	0.1101301245927384	.Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	2		1	.Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	2
Formate-e0	0.0	0.0	0.0	0.0	0.9513355963737249	0.032910436188635366	0.0	0.0	0.9513355963737249	0.032910436188635366	.Enterocloster_clostridioformis_YL32	2		1	.Enterocloster_clostridioformis_YL32	2
