	Avg_Bifidobacterium_animalis_YL2	Var_Bifidobacterium_animalis_YL2	Avg_Enterococcus_faecalis_KB1	Var_Enterococcus_faecalis_KB1	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
L-Valine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
Linolenic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Melitose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Melitose-e0	-4.68142885567957e-13	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Bifidobacterium_animalis_YL2	1		1	Bifidobacterium_animalis_YL2	1
Methylguanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylhistidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mg-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
Mn2+-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
Molybdenum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-Acetyl-D-chondrosamine-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-Acetyl-D-glucosamine-e0	0.0	0.0	-1.3713875694765231e-11	5.6718456393059e-26	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
N-acetyl-D-galactosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetyl-D-gluosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetylneuraminate (as sialic residue)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
NH3-e0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Bifidobacterium_animalis_YL2	1		1	Bifidobacterium_animalis_YL2	1
Na+-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
Niacin	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
Nickel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Oleic acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
PAN	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
Pb-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Pectin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Phosphate-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
Phosphoethanolamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Puryvate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Putrescine-e0	-1.2796578033325012e-13	0.0	-3.857870464057944e-11	5.394489106822775e-25	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
Pyridoxal	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Pyruvate-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Riboflavin	96.79614651724023	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2	1	Bifidobacterium_animalis_YL2	1	Bifidobacterium_animalis_YL2Bifidobacterium_animalis_YL2	1
Riboflavin-e0	0.0	0.0	96.79614652268093	4.2418663734564397e-20	1.0	0.0	1.0	0.0	2.0	0.0	Enterococcus_faecalis_KB1	1	Enterococcus_faecalis_KB1	1	Enterococcus_faecalis_KB1Enterococcus_faecalis_KB1	1
Selenium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Spermidine-e0	-4.0659836608725186e-13	0.0	-6.047002898412756e-11	6.3913455005198634e-24	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
Stachyose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Starch	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sucrose-e0	-4.601904794732103e-13	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Bifidobacterium_animalis_YL2	1		1	Bifidobacterium_animalis_YL2	1
Sulfate-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
Thiamin-e0	-1.933397886233479e-12	0.0	-9.497185260443075e-11	2.7573876897708894e-24	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
Uracil-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
Urea-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
VitA Retinol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Zn2+-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
acetylhexosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
carbonate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
fe3-e0	0.0	0.0	0.0	0.0	1.9	0.08999999999999997	0.0	0.0	1.9	0.08999999999999997	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1.Bifidobacterium_animalis_YL2	2		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1.Bifidobacterium_animalis_YL2	2
lactate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
2-Oxoglutarate-e0-e0	0.0	0.0	0.0	0.0	0.09999999999999996	0.08999999999999997	0.0	0.0	0.09999999999999996	0.08999999999999997	.Bifidobacterium_animalis_YL2	2		1	.Bifidobacterium_animalis_YL2	2
5'-Deoxyadenosine-e0	0.0	0.0	0.0	0.0	0.19999999999999993	0.3599999999999999	0.0	0.0	0.19999999999999993	0.3599999999999999	.Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	2		1	.Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	2
5-Methylthio-D-ribose-e0	0.0	0.0	0.0	0.0	0.19999999999999993	0.3599999999999999	0.0	0.0	0.19999999999999993	0.3599999999999999	.Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	2		1	.Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	2
Acetate-e0	0.0	0.0	0.0	0.0	0.19999999999999993	0.3599999999999999	0.0	0.0	0.19999999999999993	0.3599999999999999	.Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	2		1	.Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	2
CO2-e0	0.0	0.0	0.0	0.0	0.19999999999999993	0.3599999999999999	0.0	0.0	0.19999999999999993	0.3599999999999999	.Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	2		1	.Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	2
D-Lactate-e0	0.0	0.0	0.0	0.0	0.09999999999999996	0.08999999999999997	0.0	0.0	0.09999999999999996	0.08999999999999997	.Bifidobacterium_animalis_YL2	2		1	.Bifidobacterium_animalis_YL2	2
Ethanol-e0	0.0	0.0	0.0	0.0	0.09999999999999996	0.08999999999999997	0.0	0.0	0.09999999999999996	0.08999999999999997	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
Formate-e0-e0	0.0	0.0	0.0	0.0	0.09999999999999996	0.08999999999999997	0.0	0.0	0.09999999999999996	0.08999999999999997	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
Fumarate-e0	0.0	0.0	0.0	0.0	0.19999999999999993	0.3599999999999999	0.0	0.0	0.19999999999999993	0.3599999999999999	.Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	2		1	.Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	2
Glycerol-e0	0.0	0.0	0.0	0.0	0.19999999999999993	0.3599999999999999	0.0	0.0	0.19999999999999993	0.3599999999999999	.Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	2		1	.Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	2
Glycolaldehyde-e0	0.0	0.0	0.0	0.0	0.09999999999999996	0.08999999999999997	0.0	0.0	0.09999999999999996	0.08999999999999997	.Bifidobacterium_animalis_YL2	2		1	.Bifidobacterium_animalis_YL2	2
H2-e0	0.0	0.0	0.0	0.0	0.09999999999999996	0.08999999999999997	0.0	0.0	0.09999999999999996	0.08999999999999997	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
O2-e0	0.0	0.0	0.0	0.0	0.09999999999999996	0.08999999999999997	0.0	0.0	0.09999999999999996	0.08999999999999997	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
Propanal-e0	0.0	0.0	0.0	0.0	0.09999999999999996	0.08999999999999997	0.0	0.0	0.09999999999999996	0.08999999999999997	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
Succinate-e0	0.0	0.0	0.0	0.0	0.09999999999999996	0.08999999999999997	0.0	0.0	0.09999999999999996	0.08999999999999997	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
XAN-e0	0.0	0.0	0.0	0.0	0.09999999999999996	0.08999999999999997	0.0	0.0	0.09999999999999996	0.08999999999999997	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
