	Avg_Limosilactobacillus_reuteri_I49	Var_Limosilactobacillus_reuteri_I49	Avg_Enterocloster_clostridioformis_YL32	Var_Enterocloster_clostridioformis_YL32	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
D-Glucose-e0	2.857714684570789e-06	9.271291979143709e-07	0.0	0.0	1.7740792670598564	0.045274660408957106	6.864306116236947e-05	6.863781703797918e-05	1.7741479101210187	0.04534680178002595	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1	.Limosilactobacillus_reuteri_I49	2	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
D-Lactate-e0	0.0	0.0	0.0	0.0	0.8870396335299282	0.011318665102239276	0.0	0.0	0.8870396335299282	0.011318665102239276	Limosilactobacillus_reuteri_I49	1		1	Limosilactobacillus_reuteri_I49	1
D-Mannitol-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
D-Mannose-e0	2.6804219109491e-05	1.3207883498396817e-06	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0005918344179888502	0.0005914445836113406	1.7746711014778453	0.04589631232635591	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1	.Limosilactobacillus_reuteri_I49	2	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Fe2+-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
Folate-e0	12.766131011455366	297.7130377077224	1.7237252029830162e-11	9.75851960686257e-24	1.7740792670598564	0.045274660408957106	0.3543282670262181	0.21459773929151255	2.1284075340860746	0.27795737736834186	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1	.Limosilactobacillus_reuteri_I49	2	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Fumarate-e0	0.0	0.0	6.227060932717202e-13	6.896230056404976e-27	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
Galactose-e0	5.0269257654718994e-14	8.398127800936632e-26	0.0	0.0	1.76114305179737	0.05736435985433502	0.0	0.0	1.76114305179737	0.05736435985433502	Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		1	Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Gamma-Tocopherol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Glycine-e0	0.0	0.0	0.0	0.0	0.8870683686042482	0.01134813257923093	0.0	0.0	0.8870683686042482	0.01134813257923093	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49.Enterocloster_clostridioformis_YL32	2		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49.Enterocloster_clostridioformis_YL32	2
Guanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Guanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
H+-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
H2O-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
Hemin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Hydrocortisone	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Hypoxanthine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Inosine	0.0	0.0	0.0	0.0	0.8870396335299282	0.011318665102239276	0.0	0.0	0.8870396335299282	0.011318665102239276	Limosilactobacillus_reuteri_I49	1		1	Limosilactobacillus_reuteri_I49	1
Inosine-e0	0.0	0.0	0.0	0.0	0.8870396335299282	0.011318665102239276	0.0	0.0	0.8870396335299282	0.011318665102239276	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
K+-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
L-Alanine-e0	0.0	0.0	0.0	0.0	0.8870396335299282	0.011318665102239276	0.0	0.0	0.8870396335299282	0.011318665102239276	Limosilactobacillus_reuteri_I49	1		1	Limosilactobacillus_reuteri_I49	1
L-Arginine-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
L-Ascorbate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Ascorbate-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Asparagine-e0	9.164076931563082e-05	1.603924335728897e-05	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0005233892355129487	0.0005230843552771808	1.7746026562953694	0.04582445864375424	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1	.Limosilactobacillus_reuteri_I49	2	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
L-Aspartate-e0	3.452009685797816e-05	3.0291646039906366e-06	0.0	0.0	1.7666954821094496	0.052220896753315475	0.0003932158305784092	0.000393043746105172	1.7670886979400282	0.05264047309053185	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49.Enterocloster_clostridioformis_YL32	2	.Limosilactobacillus_reuteri_I49	2	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49.Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	3
L-Cysteine-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
L-Cystine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Fucose-e0	0.0	0.0	0.0	0.0	0.8870396335299282	0.011318665102239276	0.0	0.0	0.8870396335299282	0.011318665102239276	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Glutamate-e0	3.452009628519938e-05	3.029164604034774e-06	0.0	0.0	1.7739416027406385	0.04540527722464745	0.0003932158305784092	0.000393043746105172	1.774334818571217	0.04581851126964229	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49.Enterocloster_clostridioformis_YL32	2	.Limosilactobacillus_reuteri_I49	2	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49.Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	3
L-Glutamine-e0	9.164076883275816e-05	1.603924335738754e-05	0.0	0.0	0.8866949455254938	0.011654424407575824	0.0005233892355129487	0.0005230843552771808	0.8872183347610068	0.012191267272048988	.Limosilactobacillus_reuteri_I49	2	.Limosilactobacillus_reuteri_I49	2	.Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	3
L-Histidine-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
L-Isoleucine-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
L-Lactate-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Leucine-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
L-Lysine-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
L-Methionine-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
L-Phenylalanine	0.0	0.0	0.0	0.0	0.8870396335299282	0.011318665102239276	0.0	0.0	0.8870396335299282	0.011318665102239276	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Phenylalanine-e0	0.0	0.0	0.0	0.0	0.8870396335299282	0.011318665102239276	0.0	0.0	0.8870396335299282	0.011318665102239276	Limosilactobacillus_reuteri_I49	1		1	Limosilactobacillus_reuteri_I49	1
L-Proline-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
L-Serine-e0	0.0	0.0	0.0	0.0	0.8873842027898324	0.011671895660718894	0.0	0.0	0.8873842027898324	0.011671895660718894	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49.Enterocloster_clostridioformis_YL32	2		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49.Enterocloster_clostridioformis_YL32	2
L-Threonine-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
L-Tryptophan	0.0	0.0	0.0	0.0	0.8870396335299282	0.011318665102239276	0.0	0.0	0.8870396335299282	0.011318665102239276	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Tryptophan-e0	0.0	0.0	0.0	0.0	0.8870396335299282	0.011318665102239276	0.0	0.0	0.8870396335299282	0.011318665102239276	Limosilactobacillus_reuteri_I49	1		1	Limosilactobacillus_reuteri_I49	1
L-Tyrosine-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
L-Valine-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
Linolenic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Melitose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Melitose-e0	0.00010583512631688075	2.3120674411102338e-05	0.0	0.0	0.8870396335299282	0.011318665102239276	0.0005918344179888502	0.0005914445836113406	0.8876314679479171	0.011925213352744348	Limosilactobacillus_reuteri_I49	1	.Limosilactobacillus_reuteri_I49	2	Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
Methylguanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylhistidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mg-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
Mn2+-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
Molybdenum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-Acetyl-D-chondrosamine-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetyl-D-galactosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetyl-D-gluosamine	0.0	0.0	-5.932774700757457e-13	5.582738300254031e-25	0.8870396335299282	0.011318665102239276	0.0	0.0	0.8870396335299282	0.011318665102239276	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
N-acetylneuraminate (as sialic residue)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
NH3-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
Na+-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
Neu5Ac-e0	0.0	0.0	0.0	0.0	0.8870396335299282	0.011318665102239276	0.0	0.0	0.8870396335299282	0.011318665102239276	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Niacin	0.0	0.0	0.0	0.0	0.8870396335299282	0.011318665102239276	0.0	0.0	0.8870396335299282	0.011318665102239276	Limosilactobacillus_reuteri_I49	1		1	Limosilactobacillus_reuteri_I49	1
Nickel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
O2-e0	-7.647015550714026e-05	7.878579547980845e-05	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0005918344179888502	0.0005914445836113406	1.7746711014778453	0.04589631232635591	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1	.Limosilactobacillus_reuteri_I49	2	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Oleic acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
PAN	51.564407482291216	2031.998846289367	112.37822987932766	181.665950123358	1.7740792670598564	0.045274660408957106	1.4197510000336382	0.24178742203259748	3.193830267093495	0.3595264255915963	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49.Enterocloster_clostridioformis_YL32	2	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49.Enterocloster_clostridioformis_YL32Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Pb-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Pectin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Phosphate-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
Phosphoethanolamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Puryvate	0.0	0.0	1.478570342860233e-12	8.942948787899937e-26	0.8870396335299282	0.011318665102239276	0.0	0.0	0.8870396335299282	0.011318665102239276	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Putrescine-e0	-9.158315687531923e-05	1.6022482535667222e-05	1.0998423910474324e-12	1.815078754751563e-24	0.7754472756185572	0.8812971933386307	0.0005231913568264807	0.000522886707080345	0.7759704669753836	0.883009773155111	Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49.	3	.Limosilactobacillus_reuteri_I49	2	Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49.	4
Pyridoxal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Pyruvate-e0	2.6804219140492054e-05	1.3207883498383694e-06	0.0	0.0	0.8870396335299282	0.011318665102239276	0.0005918344179888502	0.0005914445836113406	0.8876314679479171	0.011925213352744348	Limosilactobacillus_reuteri_I49	1	.Limosilactobacillus_reuteri_I49	2	Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
Riboflavin	38.29743154843201	2679.4968426014375	0.0	0.0	0.8870396335299282	0.011318665102239276	0.3543282670262181	0.21459773929151255	1.2413679005561462	0.23495889322768798	Limosilactobacillus_reuteri_I49	1	.Limosilactobacillus_reuteri_I49	2	Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
Selenium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sorbitol-e0	0.0	0.0	0.0	0.0	0.00032745285092893235	0.00032733351334230813	0.0	0.0	0.00032745285092893235	0.00032733351334230813	Limosilactobacillus_reuteri_I49.	2		1	Limosilactobacillus_reuteri_I49.	2
Spermidine-e0	-4.503529209288206e-05	8.314926150548875e-06	3.46985840432598e-12	1.8668410250913616e-23	0.7758010006958039	0.881747670059482	0.0005918344179888502	0.0005914445836113406	0.7763928351137928	0.883684430306916	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49.	2	.Limosilactobacillus_reuteri_I49	2	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49.	3
Stachyose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Starch	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Succinate-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
Sucrose	5.222668833356401e-05	6.602880749592679e-06	0.0	0.0	0.8870396335299282	0.011318665102239276	0.0005918344179888502	0.0005914445836113406	0.8876314679479171	0.011925213352744348	Limosilactobacillus_reuteri_I49	1	.Limosilactobacillus_reuteri_I49	2	Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
Sucrose-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sulfate-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
Thiamin-e0	0.0	0.0	5.926101079233034e-12	1.642309930724283e-24	0.8870396335299282	0.011318665102239276	0.0	0.0	0.8870396335299282	0.011318665102239276	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Thiamine	25.531977334137203	1190.867669394543	0.0	0.0	0.8870396335299282	0.011318665102239276	0.3543282670262181	0.21459773929151255	1.2413679005561462	0.23495889322768798	Limosilactobacillus_reuteri_I49	1	.Limosilactobacillus_reuteri_I49	2	Limosilactobacillus_reuteri_I49.Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
Uracil-e0	0.0	0.0	0.0	0.0	0.8871740333048033	0.011456474667565516	0.0	0.0	0.8871740333048033	0.011456474667565516	Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		1	Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
