	Bacteroides_caecimuris_I48	Flavonifractor_plautii_YL31	In	InAmount	Out	OutAmount	All	AllAmount
Neu5Ac-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
Niacin	0.0	0.0	Flavonifractor_plautii_YL31	1		0	Flavonifractor_plautii_YL31	1
Nickel	0.0	0.0		0		0		0
O2-e0	-0.09189418282481523	4.267974862415258e-13	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2	Bacteroides_caecimuris_I48	1	Bacteroides_caecimuris_I48Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	3
Oleic acid	0.0	0.0		0		0		0
Ornithine-e0	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
PAN	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
Pb-e0	0.0	0.0		0		0		0
Pectin	0.0	0.0		0		0		0
Phosphate-e0	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
Phosphoethanolamine	0.0	0.0		0		0		0
Puryvate	0.0	3.000863446622759e-13	Flavonifractor_plautii_YL31	1		0	Flavonifractor_plautii_YL31	1
Putrescine-e0	0.0	1.7416623698807143e-14	Flavonifractor_plautii_YL31	1		0	Flavonifractor_plautii_YL31	1
Pyridoxal	0.0	0.0		0		0		0
Riboflavin	0.29099824561285603	126.68907411822438	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	4
Selenium	0.0	0.0		0		0		0
Sorbitol-e0-e0	0.0	0.0		0		0		0
Spermidine-e0	0.030631394275265643	-6.425415755018093e-13	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2	Bacteroides_caecimuris_I48	1	Bacteroides_caecimuris_I48Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	3
Stachyose	0.0	0.0		0		0		0
Starch	0.0	0.0		0		0		0
Succinate-e0	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
Sucrose	0.0	0.0		0		0		0
Sucrose-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
Sulfate-e0	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
Thiamin-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
Uracil-e0	0.0	5.0747600566225515e-14	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
Urea-e0	0.0	0.0	Flavonifractor_plautii_YL31	1		0	Flavonifractor_plautii_YL31	1
VitA Retinol	0.0	0.0		0		0		0
Vitamin K1	0.0	0.0		0		0		0
Vitamin K3	0.0	0.0		0		0		0
XAN-e0	0.0	0.0	Flavonifractor_plautii_YL31	1		0	Flavonifractor_plautii_YL31	1
Zn2+-e0	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
acetylhexosamine	0.0	0.0		0		0		0
acgam-e0	0.0	0.0		0		0		0
carbonate	0.0	0.0		0		0		0
core3-e0	0.0	0.0		0		0		0
core4-e0	0.0	0.0		0		0		0
fe3-e0	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
fucose	0.0	0.0		0		0		0
lactate	0.0	0.0		0		0		0
