	Limosilactobacillus_reuteri_I49	Enterococcus_faecalis_KB1	In	InAmount	Out	OutAmount	All	AllAmount
Glycine-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Glycolate-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Guanidine	0.0	0.0		0		0		0
Guanine	0.0	0.0		0		0		0
H+-e0	0.0	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
H2-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
H2O-e0	0.0	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
Hemin	0.0	0.0		0		0		0
Homocysteine-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Hydrocortisone	0.0	0.0		0		0		0
Hypoxanthine	0.0	0.0		0		0		0
Inosine	0.0	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
K+-e0	0.0	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
L-Alanine-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Arginine-e0	0.0	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
L-Ascorbate	0.0	0.0		0		0		0
L-Ascorbate-e0	0.0	0.0		0		0		0
L-Asparagine-e0	2.3314683517128287e-15	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
L-Aspartate-e0	1.853725506428816e-14	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
L-Cysteine-e0	0.0	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
L-Cystine	0.0	0.0		0		0		0
L-Fucose-e0	0.0	0.0		0		0		0
L-Glutamate-e0	-8.215650382226158e-15	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
L-Glutamine-e0	-1.6431300764452317e-14	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
L-Histidine-e0	0.0	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
L-Isoleucine-e0	0.0	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
L-Lactate-e0	0.0	0.0		0		0		0
L-Leucine-e0	0.0	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
L-Lysine-e0	0.0	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
L-Malate-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Methionine-e0	0.0	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
L-Phenylalanine-e0	0.0	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
L-Proline-e0	0.0	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
L-Serine-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
L-Threonine-e0	1.2538581284360362e-14	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
L-Tryptophan-e0	0.0	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
L-Tyrosine-e0	0.0	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
L-Valine-e0	0.0	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
Linolenic	0.0	0.0		0		0		0
Melitose	0.0	0.0		0		0		0
Melitose-e0	-6.361577931102147e-14	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Methylguanidine	0.0	0.0		0		0		0
Methylhistidine	0.0	0.0		0		0		0
Mg-e0	0.0	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
Mn2+-e0	0.0	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
Molybdenum	0.0	0.0		0		0		0
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0		0		0		0
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0		0		0		0
N-Acetyl-D-chondrosamine-e0	0.0	0.0		0		0		0
N-Acetyl-D-glucosamine-e0	0.0	-1.4306132667396554e-11	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
N-acetyl-D-galactosamine	0.0	0.0		0		0		0
N-acetyl-D-gluosamine	0.0	0.0		0		0		0
N-acetylneuraminate (as sialic residue)	0.0	0.0		0		0		0
NH3-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Na+-e0	0.0	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
Niacin	0.0	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
Nickel	0.0	0.0		0		0		0
O2-e0	6.488559689543649e-14	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
Oleic acid	0.0	0.0		0		0		0
PAN	0.0	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
Pb-e0	0.0	0.0		0		0		0
Pectin	0.0	0.0		0		0		0
Phosphate-e0	0.0	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
Phosphoethanolamine	0.0	0.0		0		0		0
Propanal-e0	0.0	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
Puryvate	0.0	0.0		0		0		0
Putrescine-e0	-1.1823875212257917e-14	-3.607168817115758e-11	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
Pyridoxal	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Pyruvate-e0	-4.132978681514743e-15	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Riboflavin	-2.2815083156046967e-14	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Riboflavin-e0	0.0	96.79614651985041	Enterococcus_faecalis_KB1	1	Enterococcus_faecalis_KB1	1	Enterococcus_faecalis_KB1Enterococcus_faecalis_KB1	2
Selenium	0.0	0.0		0		0		0
Sorbitol-e0	0.0	0.0		0		0		0
Spermidine-e0	-8.208711488322251e-15	-5.7756466276259744e-11	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
Stachyose	0.0	0.0		0		0		0
Starch	0.0	0.0		0		0		0
Succinate-e0	0.0	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
Sucrose	-4.7600812180803587e-14	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Sucrose-e0	0.0	0.0		0		0		0
Sulfate-e0	0.0	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
Thiamin-e0	0.0	-9.067946393770399e-11	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Thiamine	-4.418687638008123e-14	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Uracil-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Urea-e0	0.0	0.0		0		0		0
VitA Retinol	0.0	0.0		0		0		0
Vitamin K1	0.0	0.0		0		0		0
Vitamin K3	0.0	0.0		0		0		0
XAN-e0	0.0	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
Zn2+-e0	0.0	0.0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2		0	Enterococcus_faecalis_KB1.Limosilactobacillus_reuteri_I49	2
acetylhexosamine	0.0	0.0		0		0		0
carbonate	0.0	0.0		0		0		0
fe3-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
fucose	0.0	0.0		0		0		0
lactate	0.0	0.0		0		0		0
