	Avg_Enterocloster_clostridioformis_YL32	Var_Enterocloster_clostridioformis_YL32	Avg_Enterococcus_faecalis_KB1	Var_Enterococcus_faecalis_KB1	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
L-Tryptophan	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Tryptophan-e0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
L-Tyrosine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	1		1	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	1
L-Valine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	1		1	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	1
Linolenic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Melitose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylguanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylhistidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mg-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	1		1	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	1
Mn2+-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	1		1	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	1
Molybdenum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-Acetyl-D-chondrosamine-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-Acetyl-D-glucosamine-e0	0.0	0.0	-1.1056724056540117e-11	2.6163119411341733e-23	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
N-acetyl-D-gluosamine	-7.105427357601003e-14	1.5930919111324523e-58	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
N-acetylneuraminate (as sialic residue)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
NH3-e0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Na+-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	1		1	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	1
Neu5Ac-e0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Niacin	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Nickel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Oleic acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
PAN	126.68907411987082	8.077935669463161e-28	15.386546336579062	1252.6125854103866	2.0	0.0	1.1589582528882985	0.13369052672699822	3.158958252888299	0.13369052672699822	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	1	Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2	Enterocloster_clostridioformis_YL32Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1.Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
Pb-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Pectin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Phosphate-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	1		1	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	1
Phosphoethanolamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Puryvate	-6.16243167606001e-14	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Putrescine-e0	1.1597858057873347e-12	2.542266681741974e-25	-3.201276706640849e-11	1.9369212174304763e-22	1.6820834942234033	0.5347621069079929	0.0	0.0	1.6820834942234033	0.5347621069079929	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1.	2		1	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1.	2
Pyridoxal	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Riboflavin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Riboflavin-e0	0.0	0.0	81.40960018278686	1252.6125854992638	1.0	0.0	0.8410417471117017	0.13369052672699822	1.8410417471117018	0.13369052672699822	Enterococcus_faecalis_KB1	1	Enterococcus_faecalis_KB1.	2	Enterococcus_faecalis_KB1Enterococcus_faecalis_KB1.Enterococcus_faecalis_KB1	2
Selenium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Spermidine-e0	1.4631592028982766e-12	4.046212558746868e-25	-4.617027562622591e-11	4.0289369036665934e-22	1.6820834942234033	0.5347621069079929	0.0	0.0	1.6820834942234033	0.5347621069079929	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1.	2		1	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1.	2
Stachyose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Starch	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sucrose-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sulfate-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	1		1	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	1
Thiamin-e0	-1.0186573806691968e-12	0.0	-7.312325039106586e-11	9.732932916590905e-22	2.0	0.0	0.0	0.0	2.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	1		1	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	1
Uracil-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	1		1	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	1
Urea-e0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
VitA Retinol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Zn2+-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	1		1	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	1
acetylhexosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
carbonate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
fe3-e0	0.0	0.0	0.0	0.0	1.0000000998042586	9.980424863844781e-08	0.0	0.0	1.0000000998042586	9.980424863844781e-08	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1.Enterocloster_clostridioformis_YL32	2		1	Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1.Enterocloster_clostridioformis_YL32	2
lactate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
5'-Deoxyadenosine-e0	0.0	0.0	0.0	0.0	0.9999999001957415	9.980424863844783e-08	0.0	0.0	0.9999999001957415	9.980424863844783e-08	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
5-Methylthio-D-ribose-e0	0.0	0.0	0.0	0.0	0.9999999001957415	9.980424863844783e-08	0.0	0.0	0.9999999001957415	9.980424863844783e-08	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
Acetate-e0	0.0	0.0	0.0	0.0	1.999999800391483	3.992169945537913e-07	0.0	0.0	1.999999800391483	3.992169945537913e-07	.Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		1	.Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
CO2-e0	0.0	0.0	0.0	0.0	1.999999800391483	3.992169945537913e-07	0.0	0.0	1.999999800391483	3.992169945537913e-07	.Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		1	.Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
Ethanol-e0	0.0	0.0	0.0	0.0	0.9999999001957415	9.980424863844783e-08	0.0	0.0	0.9999999001957415	9.980424863844783e-08	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
Formate-e0-e0	0.0	0.0	0.0	0.0	0.9999999001957415	9.980424863844783e-08	0.0	0.0	0.9999999001957415	9.980424863844783e-08	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
Fumarate-e0	0.0	0.0	0.0	0.0	0.9999999001957415	9.980424863844783e-08	0.0	0.0	0.9999999001957415	9.980424863844783e-08	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
Glycerol-e0	0.0	0.0	0.0	0.0	0.9999999001957415	9.980424863844783e-08	0.0	0.0	0.9999999001957415	9.980424863844783e-08	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
H2-e0	0.0	0.0	0.0	0.0	0.9999999001957415	9.980424863844783e-08	0.0	0.0	0.9999999001957415	9.980424863844783e-08	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
O2-e0	0.0	0.0	0.0	0.0	1.999999800391483	3.992169945537913e-07	0.0	0.0	1.999999800391483	3.992169945537913e-07	.Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		1	.Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
Propanal-e0	0.0	0.0	0.0	0.0	1.999999800391483	3.992169945537913e-07	0.0	0.0	1.999999800391483	3.992169945537913e-07	.Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		1	.Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
Succinate-e0	0.0	0.0	0.0	0.0	1.999999800391483	3.992169945537913e-07	0.0	0.0	1.999999800391483	3.992169945537913e-07	.Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		1	.Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
XAN-e0	0.0	0.0	0.0	0.0	1.999999800391483	3.992169945537913e-07	0.0	0.0	1.999999800391483	3.992169945537913e-07	.Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		1	.Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
1,4-beta-D-Xylan-e0	0.0	0.0	0.0	0.0	0.09999999999999996	0.08999999999999997	0.0	0.0	0.09999999999999996	0.08999999999999997	.Enterocloster_clostridioformis_YL32	2		1	.Enterocloster_clostridioformis_YL32	2
Amylotriose-e0	0.0	0.0	-2.838788232262245e-15	7.252846764867545e-29	0.19999999999999993	0.3599999999999999	0.0	0.0	0.19999999999999993	0.3599999999999999	.Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		1	.Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
Arsenite-e0	0.0	0.0	0.0	0.0	0.09999999999999996	0.08999999999999997	0.0	0.0	0.09999999999999996	0.08999999999999997	.Enterocloster_clostridioformis_YL32	2		1	.Enterocloster_clostridioformis_YL32	2
Butyrate-e0	0.0	0.0	0.0	0.0	0.09999999999999996	0.08999999999999997	0.0	0.0	0.09999999999999996	0.08999999999999997	.Enterocloster_clostridioformis_YL32	2		1	.Enterocloster_clostridioformis_YL32	2
CELB-e0	0.0	0.0	3.569144979564952e-13	1.1464916296638336e-24	0.19999999999999993	0.3599999999999999	0.0	0.0	0.19999999999999993	0.3599999999999999	.Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		1	.Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
H2S-e0	0.0	0.0	1.5763592622571626e-15	2.236417671333552e-29	0.19999999999999993	0.3599999999999999	0.0	0.0	0.19999999999999993	0.3599999999999999	.Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		1	.Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
L-Rhamnose-e0	4.2224002072543936e-13	1.6045797159199762e-24	0.0	0.0	0.19999999999999993	0.3599999999999999	0.0	0.0	0.19999999999999993	0.3599999999999999	.Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2		1	.Enterocloster_clostridioformis_YL32.Enterococcus_faecalis_KB1	2
LACT-e0	0.0	0.0	0.0	0.0	0.09999999999999996	0.08999999999999997	0.0	0.0	0.09999999999999996	0.08999999999999997	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
