	Avg_Akkermansia_muciniphilaYL44	Var_Akkermansia_muciniphilaYL44	Avg_Enterococcus_faecalis_KB1	Var_Enterococcus_faecalis_KB1	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
L-Methionine-e0	0.0	0.0	0.0	0.0	1.99973383826247	7.083264280065173e-08	0.0	0.0	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1		1	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1
L-Phenylalanine	0.0	0.0	0.0	0.0	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Akkermansia_muciniphilaYL44	1		1	Akkermansia_muciniphilaYL44	1
L-Phenylalanine-e0	0.0	0.0	0.0	0.0	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
L-Proline-e0	0.0	0.0	0.0	0.0	1.99973383826247	7.083264280065173e-08	0.0	0.0	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1		1	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1
L-Serine-e0	0.0	0.0	0.0	0.0	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
L-Threonine-e0	0.0	0.0	0.0	0.0	1.99973383826247	7.083264280065173e-08	0.0	0.0	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1		1	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1
L-Tryptophan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Tryptophan-e0	0.0	0.0	0.0	0.0	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
L-Tyrosine	0.0	0.0	0.0	0.0	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Akkermansia_muciniphilaYL44	1		1	Akkermansia_muciniphilaYL44	1
L-Tyrosine-e0	0.0	0.0	0.0	0.0	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
L-Valine-e0	0.0	0.0	0.0	0.0	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Linolenic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Melitose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylguanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylhistidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mg-e0	0.0	0.0	0.0	0.0	1.99973383826247	7.083264280065173e-08	0.0	0.0	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1		1	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1
Mn2+-e0	0.0	0.0	0.0	0.0	1.99973383826247	7.083264280065173e-08	0.0	0.0	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1		1	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1
Molybdenum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-Acetyl-D-chondrosamine-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-Acetyl-D-glucosamine-e0	0.0	0.0	-4.5122239629673665e-11	4.93990346070714e-22	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
N-acetylneuraminate (as sialic residue)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
NH3-e0	0.0	0.0	0.0	0.0	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Akkermansia_muciniphilaYL44	1		1	Akkermansia_muciniphilaYL44	1
Na+-e0	0.0	0.0	0.0	0.0	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Neu5Ac-e0	0.0	0.0	0.0	0.0	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Akkermansia_muciniphilaYL44	1		1	Akkermansia_muciniphilaYL44	1
Niacin	0.0	0.0	0.0	0.0	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Nickel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
O2-e0	-2.595617353182017e-18	1.6849249135775761e-31	5.851538611920087e-11	3.578993264051679e-21	1.99973383826247	7.083264280065173e-08	0.0	0.0	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1		1	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1
Oleic acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
PAN	0.0	0.0	0.0	0.0	1.99973383826247	7.083264280065173e-08	0.0	0.0	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1		1	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1
Pb-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Pectin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Phosphate-e0	0.0	0.0	0.0	0.0	1.99973383826247	7.083264280065173e-08	0.0	0.0	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1		1	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1
Phosphoethanolamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Puryvate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Putrescine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Putrescine-e0	0.0	0.0	-3.3602952667956303e-11	2.745126527197903e-22	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Pyridoxal	0.0	0.0	0.0	0.0	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Riboflavin	126.67221422535258	0.00028421813079198676	0.0	0.0	0.999866919131235	1.7708160700162933e-08	0.999866919131235	1.7708160700162933e-08	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44	1	Akkermansia_muciniphilaYL44	1	Akkermansia_muciniphilaYL44Akkermansia_muciniphilaYL44	1
Riboflavin-e0	0.0	0.0	96.78326478998599	0.00016591650504658398	0.999866919131235	1.7708160700162933e-08	0.999866919131235	1.7708160700162933e-08	1.99973383826247	7.083264280065173e-08	Enterococcus_faecalis_KB1	1	Enterococcus_faecalis_KB1	1	Enterococcus_faecalis_KB1Enterococcus_faecalis_KB1	1
Selenium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Spermidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Spermidine-e0	0.0	0.0	6.287151706059516e-11	3.6631640504118486e-21	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Stachyose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Starch	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sucrose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sucrose-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sulfate-e0	0.0	0.0	0.0	0.0	1.99973383826247	7.083264280065173e-08	0.0	0.0	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1		1	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1
Thiamin-e0	0.0	0.0	-4.754484533607345e-11	5.3837721279193656e-21	1.99973383826247	7.083264280065173e-08	0.0	0.0	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1		1	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1
Uracil	0.0	0.0	0.0	0.0	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Akkermansia_muciniphilaYL44	1		1	Akkermansia_muciniphilaYL44	1
Uracil-e0	0.0	0.0	0.0	0.0	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Urea-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
VitA Retinol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Zn2+-e0	0.0	0.0	0.0	0.0	1.99973383826247	7.083264280065173e-08	0.0	0.0	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1		1	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1
acetylhexosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
acgal-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
acgam-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
carbonate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
core3-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
core4-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
fe3-e0	0.0	0.0	0.0	0.0	3.998374036949192e-05	3.998214145724167e-05	0.0	0.0	3.998374036949192e-05	3.998214145724167e-05	Akkermansia_muciniphilaYL44.	2		1	Akkermansia_muciniphilaYL44.	2
fucose	0.0	0.0	0.0	0.0	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Akkermansia_muciniphilaYL44	1		1	Akkermansia_muciniphilaYL44	1
galactose	0.0	0.0	0.0	0.0	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Akkermansia_muciniphilaYL44	1		1	Akkermansia_muciniphilaYL44	1
lactate	0.0	0.0	0.0	0.0	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Akkermansia_muciniphilaYL44	1		1	Akkermansia_muciniphilaYL44	1
Acetate-e0	0.0	0.0	0.0	0.0	1.9996538707817313	0.0001599993928067053	0.0	0.0	1.9996538707817313	0.0001599993928067053	.Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	2		1	.Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	2
CO2-e0	0.0	0.0	0.0	0.0	1.9996538707817313	0.0001599993928067053	0.0	0.0	1.9996538707817313	0.0001599993928067053	.Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	2		1	.Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	2
Ethanol-e0	0.0	0.0	0.0	0.0	1.9996538707817313	0.0001599993928067053	0.0	0.0	1.9996538707817313	0.0001599993928067053	.Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	2		1	.Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	2
H2-e0	0.0	0.0	0.0	0.0	1.9996538707817313	0.0001599993928067053	0.0	0.0	1.9996538707817313	0.0001599993928067053	.Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	2		1	.Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	2
Succinate-e0	0.0	0.0	0.0	0.0	1.9996538707817313	0.0001599993928067053	0.0	0.0	1.9996538707817313	0.0001599993928067053	.Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	2		1	.Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	2
5'-Deoxyadenosine-e0	0.0	0.0	0.0	0.0	1.7776044908011863	0.3949107366128985	0.0	0.0	1.7776044908011863	0.3949107366128985	.Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	2		1	.Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	2
Formate-e0-e0	0.0	0.0	0.0	0.0	1.7776044908011863	0.3949107366128985	0.0	0.0	1.7776044908011863	0.3949107366128985	.Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	2		1	.Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	2
Fumarate-e0	0.0	0.0	0.0	0.0	0.8888022454005932	0.09872768415322462	0.0	0.0	0.8888022454005932	0.09872768415322462	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
Glycerol-e0	0.0	0.0	0.0	0.0	0.8888022454005932	0.09872768415322462	0.0	0.0	0.8888022454005932	0.09872768415322462	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
XAN-e0	0.0	0.0	0.0	0.0	0.8888022454005932	0.09872768415322462	0.0	0.0	0.8888022454005932	0.09872768415322462	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
5-Methylthio-D-ribose-e0	0.0	0.0	0.0	0.0	0.09999999999999996	0.08999866919131232	0.0	0.0	0.09999999999999996	0.08999866919131232	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
Adenosine-e0	0.0	0.0	0.0	0.0	0.09999999999999996	0.08999866919131232	0.0	0.0	0.09999999999999996	0.08999866919131232	.Akkermansia_muciniphilaYL44	2		1	.Akkermansia_muciniphilaYL44	2
H2S-e0	0.0	0.0	0.0	0.0	0.09999999999999996	0.08999866919131232	0.0	0.0	0.09999999999999996	0.08999866919131232	.Akkermansia_muciniphilaYL44	2		1	.Akkermansia_muciniphilaYL44	2
Propanal-e0	0.0	0.0	0.0	0.0	0.09999999999999996	0.08999866919131232	0.0	0.0	0.09999999999999996	0.08999866919131232	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
